evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
PMID:42151830,literature,PubMed,42151830,https://pubmed.ncbi.nlm.nih.gov/42151830/,10.1186/s12876-026-04934-y,42151830,Short-term synbiotic supplementation and intrahepatic triglyceride content assessed by proton MR spectroscopy: a pilot study.,2026,BMC gastroenterology,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:41830022,literature,PubMed,41830022,https://pubmed.ncbi.nlm.nih.gov/41830022/,10.3390/nu18050851,41830022,Green Tea Catechin Plus Inulin Improves Insulin Resistance Without Reducing Visceral Fat and Shows Exploratory Gut Microbiota Signals in Adults with Visceral Obesity: A Double-Blind Randomized Controlled Trial.,2026,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:41455007,literature,PubMed,41455007,https://pubmed.ncbi.nlm.nih.gov/41455007/,10.1007/s12602-025-10885-9,41455007,"Bifidobacterium Breve BBr60 Improves Obesity Via the Gut Microbiota-Short-Chain Fatty Acid-IL-27/GLP-1 Axis: Evidence from a Randomized, Double-Blind, Placebo-Controlled Trial.",2025,Probiotics and antimicrobial proteins,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:40669445,literature,PubMed,40669445,https://pubmed.ncbi.nlm.nih.gov/40669445/,10.1016/j.xcrm.2025.102237,40669445,Intrinsic chicory root fibers modulate colonic microbial butyrate-producing pathways and improve insulin sensitivity in individuals with obesity.,2025,Cell reports. Medicine,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:40331097,literature,PubMed,40331097,https://pubmed.ncbi.nlm.nih.gov/40331097/,10.3389/fnut.2025.1571473,40331097,Delites™ supplementation prevents metabolic syndrome onset and modulates gut microbiome in male Sprague Dawley rats fed on cholesterol- and fat-enriched diet: a randomized preclinical trial study.,2025,Frontiers in nutrition,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:38409604,literature,PubMed,38409604,https://pubmed.ncbi.nlm.nih.gov/38409604/,10.1038/s42255-024-00988-y,38409604,Resistant starch intake facilitates weight loss in humans by reshaping the gut microbiota.,2024,Nature metabolism,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:38292634,literature,PubMed,38292634,https://pubmed.ncbi.nlm.nih.gov/38292634/,10.12998/wjcc.v12.i1.1,38292634,Gut-targeted therapies for type 2 diabetes mellitus: A review.,2024,World journal of clinical cases,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:37923223,literature,PubMed,37923223,https://pubmed.ncbi.nlm.nih.gov/37923223/,10.1016/j.advnut.2023.10.009,37923223,The Effects of Bifidobacterium Probiotic Supplementation on Blood Glucose: A Systematic Review and Meta-Analysis of Animal Models and Clinical Evidence.,2024,"Advances in nutrition (Bethesda, Md.)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:37881833,literature,PubMed,37881833,https://pubmed.ncbi.nlm.nih.gov/37881833/,10.1017/S0954422423000252,37881833,The impact of botanical fermented foods on metabolic syndrome and type 2 diabetes: a systematic review of randomised controlled trials.,2024,Nutrition research reviews,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:37836532,literature,PubMed,37836532,https://pubmed.ncbi.nlm.nih.gov/37836532/,10.3390/nu15194248,37836532,Effects of Synbiotic Supplementation on Metabolic Syndrome Traits and Gut Microbial Profile among Overweight and Obese Hong Kong Chinese Individuals: A Randomized Trial.,2023,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:36352899,literature,PubMed,36352899,https://pubmed.ncbi.nlm.nih.gov/36352899/,10.3389/fnut.2022.1007506,36352899,Effect of garlic extract on weight loss and gut microbiota composition in obese women: A double-blind randomized controlled trial.,2022,Frontiers in nutrition,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:36239189,literature,PubMed,36239189,https://pubmed.ncbi.nlm.nih.gov/36239189/,10.1111/dom.14891,36239189,"Effect of faecal microbial transplant via colonoscopy in patients with severe obesity and insulin resistance: A randomized double-blind, placebo-controlled Phase 2 trial.",2023,"Diabetes, obesity & metabolism",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:35966074,literature,PubMed,35966074,https://pubmed.ncbi.nlm.nih.gov/35966074/,10.3389/fendo.2022.921464,35966074,A maternal higher-complex carbohydrate diet increases bifidobacteria and alters early life acquisition of the infant microbiome in women with gestational diabetes mellitus.,2022,Frontiers in endocrinology,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:35592630,literature,PubMed,35592630,https://pubmed.ncbi.nlm.nih.gov/35592630/,10.3389/fnut.2022.861880,35592630,Beneficial Effects of a Low-Glycemic Diet on Serum Metabolites and Gut Microbiota in Obese Women With Prevotella and Bacteriodes Enterotypes: A Randomized Clinical Trial.,2022,Frontiers in nutrition,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:35255811,literature,PubMed,35255811,https://pubmed.ncbi.nlm.nih.gov/35255811/,10.1186/s12876-022-02176-2,35255811,"The effect of daily consumption of probiotic yogurt on liver enzymes, steatosis and fibrosis in patients with nonalcoholic fatty liver disease (NAFLD): study protocol for a randomized clinical trial.",2022,BMC gastroenterology,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:34578862,literature,PubMed,34578862,https://pubmed.ncbi.nlm.nih.gov/34578862/,10.3390/nu13092983,34578862,Supplementation of 1-Kestose Modulates the Gut Microbiota Composition to Ameliorate Glucose Metabolism in Obesity-Prone Hosts.,2021,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:34229263,literature,PubMed,34229263,https://pubmed.ncbi.nlm.nih.gov/34229263/,10.1016/j.clnu.2021.06.002,34229263,"Supplementation with Bifidobacterium breve BR03 and B632 strains improved insulin sensitivity in children and adolescents with obesity in a cross-over, randomized double-blind placebo-controlled trial.",2021,"Clinical nutrition (Edinburgh, Scotland)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:33292434,literature,PubMed,33292434,https://pubmed.ncbi.nlm.nih.gov/33292434/,10.1186/s13098-020-00603-6,33292434,Probiotics supplementation and insulin resistance: a systematic review.,2020,Diabetology & metabolic syndrome,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:33113929,literature,PubMed,33113929,https://pubmed.ncbi.nlm.nih.gov/33113929/,10.3390/nu12113239,33113929,The Role of Dietary Fibre in Modulating Gut Microbiota Dysbiosis in Patients with Type 2 Diabetes: A Systematic Review and Meta-Analysis of Randomised Controlled Trials.,2020,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:33066107,literature,PubMed,33066107,https://pubmed.ncbi.nlm.nih.gov/33066107/,10.3390/nu12103123,33066107,Effects of Bifidobacterium animalis Subsp. lactis (BPL1) Supplementation in Children and Adolescents with Prader-Willi Syndrome: A Randomized Crossover Trial.,2020,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:32234652,literature,PubMed,32234652,https://pubmed.ncbi.nlm.nih.gov/32234652/,10.1016/j.nut.2020.110749,32234652,Gut microbiota composition after diet and probiotics in overweight breast cancer survivors: a randomized open-label pilot intervention trial.,2020,"Nutrition (Burbank, Los Angeles County, Calif.)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:30967436,literature,PubMed,30967436,https://pubmed.ncbi.nlm.nih.gov/30967436/,10.2337/dc18-2591,30967436,"Efficacy of Fish Oil and/or Probiotic Intervention on the Incidence of Gestational Diabetes Mellitus in an At-Risk Group of Overweight and Obese Women: A Randomized, Placebo-Controlled, Double-Blind Clinical Trial.",2019,Diabetes care,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:30928918,literature,PubMed,30928918,https://pubmed.ncbi.nlm.nih.gov/30928918/,10.1136/bmjopen-2017-017995,30928918,"Impact of bacterial probiotics on obesity, diabetes and non-alcoholic fatty liver disease related variables: a systematic review and meta-analysis of randomised controlled trials.",2019,BMJ open,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:30921552,literature,PubMed,30921552,https://pubmed.ncbi.nlm.nih.gov/30921552/,10.1016/j.nut.2018.12.011,30921552,Effects of probiotic yogurt on glycemic indexes and endothelial dysfunction markers in patients with metabolic syndrome.,2019,"Nutrition (Burbank, Los Angeles County, Calif.)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:30641692,literature,PubMed,30641692,https://pubmed.ncbi.nlm.nih.gov/30641692/,10.1016/j.dsx.2018.08.008,30641692,The effect of probiotic supplementation on glycemic control and lipid profile in patients with type 2 diabetes: A randomized placebo controlled trial.,2019,Diabetes & metabolic syndrome,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:29661605,literature,PubMed,29661605,https://pubmed.ncbi.nlm.nih.gov/29661605/,10.1016/j.dsx.2018.04.015,29661605,Effect of alive probiotic on insulin resistance in type 2 diabetes patients: Randomized clinical trial.,2018,Diabetes & metabolic syndrome,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:28396144,literature,PubMed,28396144,https://pubmed.ncbi.nlm.nih.gov/28396144/,10.1053/j.gastro.2017.03.051,28396144,"Supplementation of Diet With Galacto-oligosaccharides Increases Bifidobacteria, but Not Insulin Sensitivity, in Obese Prediabetic Individuals.",2017,Gastroenterology,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:27126957,literature,PubMed,27126957,https://pubmed.ncbi.nlm.nih.gov/27126957/,10.1016/j.nut.2015.11.001,27126957,Beneficial effects of Bifidobacterium lactis on lipid profile and cytokines in patients with metabolic syndrome: A randomized trial. Effects of probiotics on metabolic syndrome.,2016,"Nutrition (Burbank, Los Angeles County, Calif.)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
