evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
PMID:42108208,literature,PubMed,42108208,https://pubmed.ncbi.nlm.nih.gov/42108208/,10.1093/nutrit/nuag048,42108208,Comparative Efficacy of Probiotics for the Treatment of Obesity: A Systematic Review and Network Meta-analysis.,2026,Nutrition reviews,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:42091844,literature,PubMed,42091844,https://pubmed.ncbi.nlm.nih.gov/42091844/,10.1007/s11695-026-08706-1,42091844,"Probiotic Effect on Quality of Life, Bowel Habits and Weight Loss after Different Types of Bariatric Surgeries, a Randomized Controlled Trial.",2026,Obesity surgery,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:42074987,literature,PubMed,42074987,https://pubmed.ncbi.nlm.nih.gov/42074987/,10.3390/nu18081174,42074987,"A Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Effect of Limosilactobacillus fermentum K8-Lb1 Postbiotic on Weight Management and Metabolic Health Outcomes.",2026,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:42065141,literature,PubMed,42065141,https://pubmed.ncbi.nlm.nih.gov/42065141/,10.1177/1096620X261448041,42065141,"Effects of Lactiplantibacillus Plantarum KABP051 Probiotic on Body Composition, Microbiome and Mood in Healthy Overweight Adults.",2026,Journal of medicinal food,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:42060057,literature,PubMed,42060057,https://pubmed.ncbi.nlm.nih.gov/42060057/,10.1007/s12602-026-11035-5,42060057,Enzyme-Triggered Microcapsules for Colon-Targeted Delivery of Lacticaseibacillus rhamnosus Improve Metabolic Parameters in an Obese Mouse Model.,2026,Probiotics and antimicrobial proteins,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:42016853,literature,PubMed,42016853,https://pubmed.ncbi.nlm.nih.gov/42016853/,10.1002/btm2.70122,42016853,"Lipid stress evolved, microbiome-based probiotics reduce lipid uptake in mice.",2026,Bioengineering & translational medicine,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41990710,literature,PubMed,41990710,https://pubmed.ncbi.nlm.nih.gov/41990710/,10.1016/j.canep.2026.103079,41990710,Maternal obesity and the intergenerational risk of cancer: Epidemiologic evidence and mechanistic insights.,2026,Cancer epidemiology,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41978101,literature,PubMed,41978101,https://pubmed.ncbi.nlm.nih.gov/41978101/,10.3390/nu18071050,41978101,Energy-Metabolism-Enhancing Probiotics Enhance the Therapeutic Response to a Glucagon-like Peptide-1 Receptor Agonist.,2026,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41921070,literature,PubMed,41921070,https://pubmed.ncbi.nlm.nih.gov/41921070/,10.1093/lambio/ovag041,41921070,Anti-obesity effects of probiotics beyond BMI: a critical review of human clinical trials.,2026,Letters in applied microbiology,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41898729,literature,PubMed,41898729,https://pubmed.ncbi.nlm.nih.gov/41898729/,10.3390/ijms27062875,41898729,Dietary Supplementation of L-Carnosine Attenuates High Starch-Induced Disorders of Carbohydrate and Lipid Metabolisms in Zebrafish.,2026,International journal of molecular sciences,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41743894,literature,PubMed,41743894,https://pubmed.ncbi.nlm.nih.gov/41743894/,10.1007/s40200-026-01887-7,41743894,Enteroendocrine hormones and gut microbiota in obesity: a systematic review from mechanistic insight to precision metabolic care.,2026,Journal of diabetes and metabolic disorders,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41717546,literature,PubMed,41717546,https://pubmed.ncbi.nlm.nih.gov/41717546/,10.3389/fendo.2026.1680182,41717546,The effect of combining surgical or endoscopic bariatric interventions with anti-obesity medication or probiotics on weight loss: a narrative review.,2026,Frontiers in endocrinology,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41594449,literature,PubMed,41594449,https://pubmed.ncbi.nlm.nih.gov/41594449/,10.3390/ani16020259,41594449,Bifidobacterium animalis Subspecies lactis CECT 8145 Affects Markers of Metabolic Health in Dogs During Weight Gain and Weight Loss.,2026,Animals : an open access journal from MDPI,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41553723,literature,PubMed,41553723,https://pubmed.ncbi.nlm.nih.gov/41553723/,10.1152/ajpendo.00488.2025,41553723,"Postbiotic gut bacteria site-specific immunomodulators improve liver steatosis, inflammation, and fibrosis in obese mice with MASLD.",2026,American journal of physiology. Endocrinology and metabolism,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41524907,literature,PubMed,41524907,https://pubmed.ncbi.nlm.nih.gov/41524907/,10.1007/s00394-025-03873-w,41524907,A multifaceted lifestyle program for weight loss in overweight adults: evidence from a randomised clinical trial.,2026,European journal of nutrition,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41469282,literature,PubMed,41469282,https://pubmed.ncbi.nlm.nih.gov/41469282/,10.1016/j.soard.2025.11.021,41469282,"American Society of Metabolic and Bariatric Surgery review of gut microbiome and alterations related to weight loss treatment, by the Clinical Issues Committee.",2026,Surgery for obesity and related diseases : official journal of the American Society for Bariatric Surgery,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
