evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
PMID:40965226,literature,PubMed,40965226,https://pubmed.ncbi.nlm.nih.gov/40965226/,10.1002/mnfr.70198,40965226,"Effects of a Probiotic Formulation Based on SF68, Phytosterols, and 6S-5-Methyltetrahydrofolic Acid on Body Composition, Biochemical Parameters, Gut Microbiota, and Gastrointestinal and General Symptoms of Overweight/Obese Subjects: The PrObesity Study.",2025,Molecular nutrition & food research,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:40902730,literature,PubMed,40902730,https://pubmed.ncbi.nlm.nih.gov/40902730/,10.1016/j.tjnut.2025.08.026,40902730,Can Probiotics Influence Adaptive Thermogenesis Induced by Continuous Energy Restriction after a 12-Week Intervention in Adult Males Living with Obesity? A Secondary Analysis of a Randomized Clinical Trial (São Paulo Clinical Study of Obesity and Intestinal Microbiota).,2025,The Journal of nutrition,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:40409234,literature,PubMed,40409234,https://pubmed.ncbi.nlm.nih.gov/40409234/,10.1016/j.clnu.2025.05.005,40409234,Effects of multi-strain probiotics supplementation on body adiposity and metabolic profile in individuals with hypertension and overweight following an energy-restricted diet: A randomized clinical trial.,2025,"Clinical nutrition (Edinburgh, Scotland)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:39842252,literature,PubMed,39842252,https://pubmed.ncbi.nlm.nih.gov/39842252/,10.1016/j.clnu.2024.12.031,39842252,"Effect of caloric restriction with probiotic supplementation on body composition, quality of life, and psychobiological factors of obese men: A randomized, double-blinded placebo-controlled clinical trial.",2025,"Clinical nutrition (Edinburgh, Scotland)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:39594049,literature,PubMed,39594049,https://pubmed.ncbi.nlm.nih.gov/39594049/,10.3390/foods13223635,39594049,"The Impact of Green Tea Kombucha on the Intestinal Health, Gut Microbiota, and Serum Metabolome of Individuals with Excess Body Weight in a Weight Loss Intervention: A Randomized Controlled Trial.",2024,"Foods (Basel, Switzerland)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:37880791,literature,PubMed,37880791,https://pubmed.ncbi.nlm.nih.gov/37880791/,10.1186/s13063-023-07691-5,37880791,The effects of intermittent fasting diet alone or in combination with probiotic supplementation in comparison with calorie-restricted diet on metabolic and hormonal profile in patients with polycystic ovary syndrome: study protocol for a randomized clinical trial.,2023,Trials,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:36674104,literature,PubMed,36674104,https://pubmed.ncbi.nlm.nih.gov/36674104/,10.3390/ijerph20021348,36674104,Effects of a Diet Containing Sources of Prebiotics and Probiotics and Modification of the Gut Microbiota on the Reduction of Body Fat.,2023,International journal of environmental research and public health,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:33066107,literature,PubMed,33066107,https://pubmed.ncbi.nlm.nih.gov/33066107/,10.3390/nu12103123,33066107,Effects of Bifidobacterium animalis Subsp. lactis (BPL1) Supplementation in Children and Adolescents with Prader-Willi Syndrome: A Randomized Crossover Trial.,2020,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:33054635,literature,PubMed,33054635,https://pubmed.ncbi.nlm.nih.gov/33054635/,10.1080/1028415X.2020.1826763,33054635,"The combined effects of probiotics and restricted calorie diet on the anthropometric indices, eating behavior, and hormone levels of obese women with food addiction: a randomized clinical trial.",2022,Nutritional neuroscience,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:32844188,literature,PubMed,32844188,https://pubmed.ncbi.nlm.nih.gov/32844188/,10.1093/ajcn/nqaa220,32844188,"Metabolic adaptation is an illusion, only present when participants are in negative energy balance.",2020,The American journal of clinical nutrition,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:31987116,literature,PubMed,31987116,https://pubmed.ncbi.nlm.nih.gov/31987116/,10.1016/j.clnesp.2019.10.001,31987116,"Effect of a low energy diet, containing a high protein, probiotic condensed yogurt, on biochemical and anthropometric measurements among women with overweight/obesity: A randomised controlled trial.",2020,Clinical nutrition ESPEN,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:31952249,literature,PubMed,31952249,https://pubmed.ncbi.nlm.nih.gov/31952249/,10.3390/nu12010222,31952249,"Effects of Synbiotic Supplement on Human Gut Microbiota, Body Composition and Weight Loss in Obesity.",2020,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:29688793,literature,PubMed,29688793,https://pubmed.ncbi.nlm.nih.gov/29688793/,10.1089/jmf.2017.3937,29688793,"Lactobacillus gasseri BNR17 Supplementation Reduces the Visceral Fat Accumulation and Waist Circumference in Obese Adults: A Randomized, Double-Blind, Placebo-Controlled Trial.",2018,Journal of medicinal food,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:29147070,literature,PubMed,29147070,https://pubmed.ncbi.nlm.nih.gov/29147070/,10.1155/2017/5650627,29147070,Evidences of a New Psychobiotic Formulation on Body Composition and Anxiety.,2017,Mediators of inflammation,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:28008750,literature,PubMed,28008750,https://pubmed.ncbi.nlm.nih.gov/28008750/,10.1002/oby.21671,28008750,"The additional effects of a probiotic mix on abdominal adiposity and antioxidant Status: A double-blind, randomized trial.",2017,"Obesity (Silver Spring, Md.)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:27810310,literature,PubMed,27810310,https://pubmed.ncbi.nlm.nih.gov/27810310/,10.1016/j.ebiom.2016.10.036,27810310,"Probiotic With or Without Fiber Controls Body Fat Mass, Associated With Serum Zonulin, in Overweight and Obese Adults-Randomized Controlled Trial.",2016,EBioMedicine,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:26443336,literature,PubMed,26443336,https://pubmed.ncbi.nlm.nih.gov/26443336/,10.1038/ijo.2015.202,26443336,Is consuming yoghurt associated with weight management outcomes? Results from a systematic review.,2016,International journal of obesity (2005),needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:24124012,literature,PubMed,24124012,https://pubmed.ncbi.nlm.nih.gov/24124012/,10.1002/oby.20632,24124012,Combined effects of oligofructose and Bifidobacterium animalis on gut microbiota and glycemia in obese rats.,2014,"Obesity (Silver Spring, Md.)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
