evidence_id,source_database,source_accession,title,outcome_domain,suggested_text,suggested_p_value,final_value,final_unit,final_direction,comparison,time_point,p_value_confirmed,sample_size_confirmed,extraction_source,reviewer,review_status,reviewer_note
EUROPEPMC:41999447,PubMed,41999447,Reconsidering Obesity in India Through a Gut-Metabolic Lens: Mechanistic Insights and the Emerging Role of Synbiotics in Individuals with the Thin-Fat Phenotype.,BMI,"India's escalating burden of obesity and metabolic disease is characterized by a distinctive ""thin-fat"" phenotype, in which individuals with normal or near-normal body mass index exhibit disproportionate visceral adiposity, reduced skeletal muscle mass, and heightened susceptibility to insulin resistance.",,,,,,,,,detail_hint,supplement_next_queue,pending,
EUROPEPMC:41999447,PubMed,41999447,Reconsidering Obesity in India Through a Gut-Metabolic Lens: Mechanistic Insights and the Emerging Role of Synbiotics in Individuals with the Thin-Fat Phenotype.,body_fat,"India's escalating burden of obesity and metabolic disease is characterized by a distinctive ""thin-fat"" phenotype, in which individuals with normal or near-normal body mass index exhibit disproportionate visceral adiposity, reduced skeletal muscle mass, and heightened susceptibility to insulin resistance.",,,,,,,,,detail_hint,supplement_next_queue,pending,
EUROPEPMC:41999447,PubMed,41999447,Reconsidering Obesity in India Through a Gut-Metabolic Lens: Mechanistic Insights and the Emerging Role of Synbiotics in Individuals with the Thin-Fat Phenotype.,glucose,"India's escalating burden of obesity and metabolic disease is characterized by a distinctive ""thin-fat"" phenotype, in which individuals with normal or near-normal body mass index exhibit disproportionate visceral adiposity, reduced skeletal muscle mass, and heightened susceptibility to insulin resistance.",,,,,,,,,detail_hint,supplement_next_queue,pending,
EUROPEPMC:41999447,PubMed,41999447,Reconsidering Obesity in India Through a Gut-Metabolic Lens: Mechanistic Insights and the Emerging Role of Synbiotics in Individuals with the Thin-Fat Phenotype.,microbiome,"Emerging evidence implicates gut microbiome dysbiosis, impaired fermentation of dietary fibers, reduced short-chain fatty acid (SCFA) signaling, altered bile acid metabolism, metabolic endotoxemia, and dysregulated adipose tissue crosstalk as key contributors to metabolic vulnerability in South Asian populations.",,,,,,,,,detail_hint,supplement_next_queue,pending,
PMID:41205303,PubMed,41205303,Bacteroides acidifaciens alleviates high-fat diet-induced obesity-related osteoporosis by regulating gut microbiota and bile acid metabolism via the gut-bone axis.,weight,"acidifaciens sharply improved weight gain, glucose and lipid metabolism in 16 weeks HFD mice.",,,,,,,,,detail_hint,supplement_next_queue,pending,
PMID:41205303,PubMed,41205303,Bacteroides acidifaciens alleviates high-fat diet-induced obesity-related osteoporosis by regulating gut microbiota and bile acid metabolism via the gut-bone axis.,glucose,"acidifaciens sharply improved weight gain, glucose and lipid metabolism in 16 weeks HFD mice.",,,,,,,,,detail_hint,supplement_next_queue,pending,
PMID:41205303,PubMed,41205303,Bacteroides acidifaciens alleviates high-fat diet-induced obesity-related osteoporosis by regulating gut microbiota and bile acid metabolism via the gut-bone axis.,lipid,"acidifaciens) in modulating metabolic homeostasis, reducing inflammation, and improving lipid metabolism, its impact on obesity-associated osteoporosis is still not well understood.",,,,,,,,,detail_hint,supplement_next_queue,pending,
PMID:41499920,PubMed,41499920,Gut microbiota composition and derived enterotypes are associated with ponderal status in preschool children. Childhood obesity risk assessment longitudinal study (CORALS) cohort.,weight,"Four enterotypes were identified: obesity was associated with Enterotype 3 (Segatella-dominated, p = 0.023), while Enterotype 1 (Alistipes, Akkermansia, Coprococcus) was enriched in underweight/normal weight.",P = 0.00301; P = 0.00158; p = 0.001; p = 0.023; P = 0.003; P = 0.001; P = 0.03,,,,,,,1134 children,detail_hint,supplement_next_queue,pending,
PMID:41499920,PubMed,41499920,Gut microbiota composition and derived enterotypes are associated with ponderal status in preschool children. Childhood obesity risk assessment longitudinal study (CORALS) cohort.,BMI,"Analyses in R assessed alpha/beta diversity, taxonomic composition, enterotypes, and microbial pathways.; Alpha diversity decreased with increasing BMI, particularly in obesity (Shannon adj.P = 0.00301; Simpson adj.P = 0.00158).",P = 0.00301; P = 0.00158; p = 0.001; p = 0.023; P = 0.003; P = 0.001; P = 0.03,,,,,,,1134 children,detail_hint,supplement_next_queue,pending,
PMID:41499920,PubMed,41499920,Gut microbiota composition and derived enterotypes are associated with ponderal status in preschool children. Childhood obesity risk assessment longitudinal study (CORALS) cohort.,microbiome,Childhood obesity is a growing public health concern increasingly linked to gut microbiota.,P = 0.00301; P = 0.00158; p = 0.001; p = 0.023; P = 0.003; P = 0.001; P = 0.03,,,,,,,1134 children,detail_hint,supplement_next_queue,pending,
