evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
EUROPEPMC:41507594,literature,PubMed,41507594,https://europepmc.org/article/MED/41507594,10.1007/s00198-025-07801-w,41507594,"Impact of probiotic, prebiotic, and synbiotic supplementation on the gut microbiome in older adults with sarcopenia, obesity, and sarcopenic obesity.",2026,Osteoporos Int,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search,2026-05-26
EUROPEPMC:41999447,literature,PubMed,41999447,https://europepmc.org/article/MED/41999447,10.1007/s12325-026-03577-5,41999447,Reconsidering Obesity in India Through a Gut-Metabolic Lens: Mechanistic Insights and the Emerging Role of Synbiotics in Individuals with the Thin-Fat Phenotype.,2026,Adv Ther,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search,2026-05-26
EUROPEPMC:41774188,literature,PubMed,41774188,https://europepmc.org/article/MED/41774188,10.1007/s00018-025-06022-y,41774188,"Microbes, mood, and metabolism/obesity: Pharmacological insights into the gut-obesity-depression triad.",2026,Cell Mol Life Sci,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search,2026-05-26
EUROPEPMC:41721244,literature,PubMed,41721244,https://europepmc.org/article/MED/41721244,10.1186/s12866-026-04840-z,41721244,Modulation of gut-heart axis by synbiotic (Lactiplantibacillus plantarum M10 and Isomaltose) in high cholesterol diet induced atherosclerotic murine model.,2026,BMC Microbiol,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search,2026-05-26
EUROPEPMC:41133047,literature,PubMed,41133047,https://europepmc.org/article/MED/41133047,10.7759/cureus.92881,41133047,Efficacy of Gut Microbiome-Targeted Therapies in Modulating Systemic Inflammation and Low-Grade Chronic Inflammatory States in Adults With Metabolic Disorders: A Systematic Review.,2025,Cureus,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search,2026-05-26
EUROPEPMC:41444876,literature,PubMed,41444876,https://europepmc.org/article/MED/41444876,10.1186/s12887-025-06319-8,41444876,The role of microbiome-modulating supplements in managing metabolic syndrome risk factors among overweight and obese youth: a GRADE-assessed meta-analysis.,2025,BMC Pediatr,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search,2026-05-26
EUROPEPMC:PMC12937403,literature,publisher supplementary data,PMC12937403,,,,"Multi-Species Synbiotic Supplementation After Antibiotics Promotes Recovery of Microbial Diversity and Function, and Increases Gut Barrier Integrity: A Randomized, Placebo-Controlled Trial",2026,Antibiotics (Basel),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search,2026-05-26
EUROPEPMC:40987620,literature,PubMed,40987620,https://europepmc.org/article/MED/40987620,10.1016/j.orcp.2025.08.010,40987620,Can pre-/pro and synbiotics affect cardiovascular risk factors in children and adolescence with overweight and obesity? A grade-assessed systematic review and meta-analysis of randomized controlled trials.,2025,Obes Res Clin Pract,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search,2026-05-26
EUROPEPMC:41295329,literature,PubMed,41295329,https://europepmc.org/article/MED/41295329,10.3390/metabo15110744,41295329,Personalized Delivery of Probiotics and Prebiotics via 3D Food Printing.,2025,Metabolites,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search,2026-05-26
EUROPEPMC:41815495,literature,PubMed,41815495,https://europepmc.org/article/MED/41815495,10.3389/fvets.2026.1759381,41815495,The importance of prebiotics in managing colic in horses: focus on <i>Akkermansia muciniphila</i> and its anti-inflammatory potential.,2026,Front Vet Sci,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search,2026-05-26
EUROPEPMC:42141362,literature,PubMed,42141362,https://europepmc.org/article/MED/42141362,10.1002/oby.70224,42141362,Effect of Sevelamer and B. longum on Insulin Sensitivity in Participants With Obesity: A Randomized Clinical Trial.,2026,Obesity (Silver Spring),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search,2026-05-26
EUROPEPMC:41978103,literature,PubMed,41978103,https://europepmc.org/article/MED/41978103,10.3390/nu18071052,41978103,"Diet, the Gut Microbiome, and Estrogen Physiology: A Review in Menopausal Health and Interventions.",2026,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search,2026-05-26
EUROPEPMC:41308055,literature,PubMed,41308055,https://europepmc.org/article/MED/41308055,10.1177/07067437251394369,41308055,Oral Methods of Microbiota Manipulation for Depression Symptoms: A Systematic Review: Méthodes orales de manipulation du microbiote pour traiter les symptômes de dépression : Une revue systématique.,2025,Can J Psychiatry,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search,2026-05-26
EUROPEPMC:41814326,literature,PubMed,41814326,https://europepmc.org/article/MED/41814326,10.1186/s12986-026-01101-8,41814326,Effects of synbiotic supplementation on metabolic profiles in children with obesity: a randomized double-blinded placebo-controlled trial.,2026,Nutr Metab (Lond),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search,2026-05-26
EUROPEPMC:41120928,literature,PubMed,41120928,https://europepmc.org/article/MED/41120928,10.1186/s12866-025-04408-3,41120928,A novel synbiotic formulation prevents calcium oxalate stones by restoring gut microbiota homeostasis.,2025,BMC Microbiol,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search,2026-05-26
EUROPEPMC:41745391,literature,PubMed,41745391,https://europepmc.org/article/MED/41745391,10.3390/jpm16020099,41745391,Probiotics as Microbiome Modulators in Male Infertility: Rethinking Dysbiosis Across the Gut-Testis Axis.,2026,J Pers Med,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search,2026-05-26
EUROPEPMC:41321404,literature,PubMed,41321404,https://europepmc.org/article/MED/41321404,10.1016/j.metop.2025.100419,41321404,"Probiotics, <i>prebiotics</i>, synbiotics, and FMT for glycemic control: A systematic review of clinical efficacy and mechanistic readouts in type 2 diabetes and related dysglycemia.",2025,Metabol Open,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search,2026-05-26
EUROPEPMC:41683196,literature,PubMed,41683196,https://europepmc.org/article/MED/41683196,10.3390/nu18030372,41683196,"Prebiotics and Gut Health: Mechanisms, Clinical Evidence, and Future Directions.",2026,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search,2026-05-26
