file_name,file_path,file_type,parse_status,pages,sha256,exact_duplicate_count,is_exact_duplicate,extracted_title,matched_evidence_id,matched_source_accession,matched_title,match_score,matched_table_kind,text_excerpt,error
394_2021_Article_2538.pdf,D:\Download\394_2021_Article_2538.pdf,pdf,ok,14,fd194ad253b2fe6c8de51302824d15207ef21bebe610ff0a6274c782f15bb1b1,1,no,"Mediterranean diet consumption affects the endocannabinoid system in overweight and obese subjects: possible links with gut microbiome, insulin resistance and inflammation",PMID:33763720,33763720,"Mediterranean diet consumption affects the endocannabinoid system in overweight and obese subjects: possible links with gut microbiome, insulin resistance and inflammation.",1.000,evidence_registry.expanded,"Vol.:(0123456789)1 3 European Journal of Nutrition (2021) 60:3703–3716 https://doi.org/10.1007/s00394-021-02538-8 ORIGINAL CONTRIBUTION Mediterranean diet consumption affects the endocannabinoid system in overweight and obese subjects: possible links with gut microbiome, insulin resistance and inflammation Silvia Tagliamonte1 · Manolo Laiola1 · Rosalia Ferracane1 · Marilena Vitale2 · Maria A. Gallo3 · Victoria Meslier4 · Nicolas Pons4 · Danilo Ercolini1,5 · Paola Vitaglione1,5 Received: 20 December 2020 / Accepted: 8 March 2021 / Published online: 24 March 2021 © The Author(s) 2021 Abstract Purpose To investigate whether a Mediterranean diet (MD) affected the plasma concentrations of endocannabinoids (ECs), N-acylethanolamines (NAEs) and their specific ratios in subjects with lifestyle risk factors for metabolic diseases. To iden- tify the relationship between circulating levels of these compounds and gut microbiome, insulin resistance and systemic inflammation. Methods A parallel 8-week randomised controlled trial was performed involving 82 overweight and obese subjects aged (mean ± SEM) 43 ± 1.4 years with a BMI of 31.1 ± 0.5 kg/m2, habitual Western diet (CT) and sedentary lifestyle. Subjects were randomised to consume an MD tailored to their habitual energy and macronutrient intake (n = 43) or to maintain their habitual diet (n = 39). Endocannabinoids and endocannabinoid-like molecules, metabolic and inflammatory markers and gut microbiome were monitored over the study period. Results The MD intervention lowered plasma arachidonoylethanolamide (AEA, p = 0.02), increased plasma oleoylethanola- mide/palmitoylethanolamide (OEA/PEA, p = 0.009) and OEA/AEA (p = 0.006) and increased faecal Akkermansia mucin- iphila (p = 0.026) independent of body weight changes. OEA/PEA po",
12986_2025_Article_969.pdf,D:\Download\12986_2025_Article_969.pdf,pdf,ok,11,895f1a9eea1a016b8a599100e184c8afdd0eb30c22942ff2864c9c0c250d6b7d,1,no,Nutrition & Metabolism †Xiaoya Wang and Zefeng Xing contributed equally to this work and,EUROPEPMC:40676704,40676704,"Multi-omics analyses the effect of Bifidobacterium longum subsp. longum BL21 supplementation on overweight and obese subjects: a randomized, double-blind, placebo-controlled study.",1.000,evidence_registry.expansion,"RESEARCH Open Access © The Author(s) 2025. Open Access This article is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License, which permits any non-commercial use, sharing, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if you modified the licensed material. You do not have permission under this licence to share adapted material derived from this article or parts of it. The images or other third party material in this article are included in the article’s Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article’s Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit h t t p : / / c r e a t i v e c o m m o n s . o r g / l i c e n s e s / b y - n c - n d / 4 . 0 /. Wang et al. Nutrition & Metabolism (2025) 22:79 https://doi.org/10.1186/s12986-025-00969-2 Nutrition & Metabolism †Xiaoya Wang and Zefeng Xing contributed equally to this work and share first authorship. *Correspondence: Guodong Liu 18678185717@163.com Zhen Li qilulizhen@sdu.edu.cn Lixiang Li lilixiang@sdu.edu.cn Full list of author information is available at the end of the article Abstract Background Bifidobacterium longum subsp. longum BL21 has demonstrated promise in alleviating gut microbiota disturbances and metabolic regulation in high-fat diet-induced obesity and type 2 diabetes mellitus models. However, the effect of probiotic B. longum BL21 on overweight and obese ind",
41387_2025_Article_408.pdf,D:\Download\41387_2025_Article_408.pdf,pdf,ok,12,d87c0f29fe92867f3bed6e527ad491f613091d65efb296c3a063a281c205d6f0,1,no,"The promising effects of a multi-species synbiotic preparation on metabolic profile in elderly patients with type 2 diabetes and high cardiovascular risk: a randomized, triple-blind, placebo-controlled trial",EUROPEPMC:41413231,41413231,"The promising effects of a multi-species synbiotic preparation on metabolic profile in elderly patients with type 2 diabetes and high cardiovascular risk: a randomized, triple-blind, placebo-controlled trial.",1.000,evidence_registry.expansion,"ARTICLE OPEN The promising effects of a multi-species synbiotic preparation on metabolic pro ﬁle in elderly patients with type 2 diabetes and high cardiovascular risk: a randomized, triple-blind, placebo-controlled trial Neda Dolatkhah 1,2 ✉, Elnaz Nourizadeh 3, Naser Aghamohammadzadeh 4, Shahrzad Yahyavi 5, Fariba Eslamian 6 and Maryam Hashemian 7 © The Author(s) 2025 BACKGROUND: Elderly patients with type 2 diabetes (T2DM) experience a signi ﬁcantly raised risk of cardiovascular disease. We aimed to determine the effect of the multi-species synbiotic supplementation in elderly patients with T2DM and high cardiovascular risk. METHODS: Ninety-six patients with T2DM, aged ≥65 years with high cardiovascular risk, were enrolled between January 2022 and May 2023 and randomly allocated to receive a synbiotic supplement, containing a multi-species probiotic, and fructooligosaccharide as a prebiotic, or placebo supplements for 4 months. The primary outcome was the mean difference in weight change between synbiotics and placebo. The secondary outcomes were the mean difference in modi ﬁcations in the body fat mass (BFM), lean body mass (LBM), and biochemical parameters, including glucose metabolism indices, lipid pro ﬁle, and adhesion molecules between the two groups due to the intervention. RESULTS: Eighty-ﬁve participants completed the study. The mean weight [ −1.16 kg ( −1.36 to −0.97)], body mass index (BMI) [−0.44 kg/m 2 (−0.36 to −0.51)], and BFM [ −0.99 kg ( −1.05 to −0.93)] decreased signi ﬁcantly in the synbiotic group compared to the placebo group in the linear mixed analysis of covariance analysis (all p < 0.001). The mean serum Low-density-Lipoprotein (LDL- C) [ −10.83 mg/dl ( −14.78 to −6.88)], and total cholesterol [ −11.78 mg/dl ( −16.44 to −7.11)], vascular cell ",
"Effect of prebiotic fiber on physical function and gut microbiota in adults, mostly women, with knee osteoarthritis and obesity_(科研通-ablesci.com) (1).pdf","D:\Download\Effect of prebiotic fiber on physical function and gut microbiota in adults, mostly women, with knee osteoarthritis and obesity_(科研通-ablesci.com) (1).pdf",pdf,ok,13,3df245ec93950cddd8a151a40432d3683fe4d0aeb002d148df85dd7df5bdb4b3,2,yes,"Effect of prebiotic fiber on physical function and gut microbiota in adults, mostly women, with knee osteoarthritis and obesity: a randomized controlled trial",PMID:38713231,38713231,"Effect of prebiotic fiber on physical function and gut microbiota in adults, mostly women, with knee osteoarthritis and obesity: a randomized controlled trial.",1.000,evidence_registry.expansion,"Vol.:(0123456789) European Journal of Nutrition (2024) 63:2149–2161 https://doi.org/10.1007/s00394-024-03415-w ORIGINAL CONTRIBUTION Effect of prebiotic fiber on physical function and gut microbiota in adults, mostly women, with knee osteoarthritis and obesity: a randomized controlled trial Rafael Fortuna1 · Weilan Wang1 · Shyamchand Mayengbam2 · Erin W. Noye Tuplin1 · Kara Sampsell1 · Keith A. Sharkey3 · David A. Hart4 · Raylene A. Reimer1,5 Received: 17 November 2023 / Accepted: 18 April 2024 / Published online: 7 May 2024 © Springer-Verlag GmbH Germany, part of Springer Nature 2024 Abstract Purpose Obesity is a primary risk factor for knee osteoarthritis (OA). Prebiotics enhance beneficial gut microbes and can reduce body fat and inflammation. Our objective was to examine if a 6-month prebiotic intervention improved physical function in adults with knee osteoarthritis and obesity. We also measured knee pain, body composition, quality of life, gut microbiota, inflammatory markers, and serum metabolomics. Methods Adults (n = 54, mostly women) with co-morbid obesity (BMI > 30 kg/m 2) and unilateral/bilateral knee OA were randomly assigned to prebiotic (oligofructose-enriched inulin; 16 g/day; n = 31) or isocaloric placebo (maltodextrin; n = 21) for 6 months. Performance based-tests, knee pain, quality of life, serum metabolomics and inflammatory markers, and fecal microbiota and short-chain fatty acids were assessed. Results Significant between group differences were detected for the change in timed-up-and-go test, 40 m fast paced walk test, and hand grip strength test from baseline that favored prebiotic over placebo. Prebiotic also reduced trunk fat mass (kg) at 6 months and trunk fat (%) at 3 months compared to placebo. There was a trend (p = 0.059) for reduced knee ",
"Effect of prebiotic fiber on physical function and gut microbiota in adults, mostly women, with knee osteoarthritis and obesity_(科研通-ablesci.com).pdf","D:\Download\Effect of prebiotic fiber on physical function and gut microbiota in adults, mostly women, with knee osteoarthritis and obesity_(科研通-ablesci.com).pdf",pdf,ok,13,3df245ec93950cddd8a151a40432d3683fe4d0aeb002d148df85dd7df5bdb4b3,2,yes,"Effect of prebiotic fiber on physical function and gut microbiota in adults, mostly women, with knee osteoarthritis and obesity: a randomized controlled trial",PMID:38713231,38713231,"Effect of prebiotic fiber on physical function and gut microbiota in adults, mostly women, with knee osteoarthritis and obesity: a randomized controlled trial.",1.000,evidence_registry.expansion,"Vol.:(0123456789) European Journal of Nutrition (2024) 63:2149–2161 https://doi.org/10.1007/s00394-024-03415-w ORIGINAL CONTRIBUTION Effect of prebiotic fiber on physical function and gut microbiota in adults, mostly women, with knee osteoarthritis and obesity: a randomized controlled trial Rafael Fortuna1 · Weilan Wang1 · Shyamchand Mayengbam2 · Erin W. Noye Tuplin1 · Kara Sampsell1 · Keith A. Sharkey3 · David A. Hart4 · Raylene A. Reimer1,5 Received: 17 November 2023 / Accepted: 18 April 2024 / Published online: 7 May 2024 © Springer-Verlag GmbH Germany, part of Springer Nature 2024 Abstract Purpose Obesity is a primary risk factor for knee osteoarthritis (OA). Prebiotics enhance beneficial gut microbes and can reduce body fat and inflammation. Our objective was to examine if a 6-month prebiotic intervention improved physical function in adults with knee osteoarthritis and obesity. We also measured knee pain, body composition, quality of life, gut microbiota, inflammatory markers, and serum metabolomics. Methods Adults (n = 54, mostly women) with co-morbid obesity (BMI > 30 kg/m 2) and unilateral/bilateral knee OA were randomly assigned to prebiotic (oligofructose-enriched inulin; 16 g/day; n = 31) or isocaloric placebo (maltodextrin; n = 21) for 6 months. Performance based-tests, knee pain, quality of life, serum metabolomics and inflammatory markers, and fecal microbiota and short-chain fatty acids were assessed. Results Significant between group differences were detected for the change in timed-up-and-go test, 40 m fast paced walk test, and hand grip strength test from baseline that favored prebiotic over placebo. Prebiotic also reduced trunk fat mass (kg) at 6 months and trunk fat (%) at 3 months compared to placebo. There was a trend (p = 0.059) for reduced knee ",
effect-of-green-lipped-mussel-perna-canaliculus-supplementation-on-faecal-microbiota-body-composition-and-iron-status-markers-in-overweight-and-obese-postmenopausal-women-a-randomised-double-blind-pla.pdf,D:\Download\effect-of-green-lipped-mussel-perna-canaliculus-supplementation-on-faecal-microbiota-body-composition-and-iron-status-markers-in-overweight-and-obese-postmenopausal-women-a-randomised-double-blind-pla.pdf,pdf,ok,12,149f68f5fa8e95e52d92c3b936ba66b29ee98ad6dcdd52d4bc93c382b1cd1823,1,no,effect-of-green-lipped-mussel-perna-canaliculus-supplementation-on-faecal-microbiota-body-composition-and-iron-status-markers-in-overweight-and-obese-postmenopausal-women-a-randomised-double-blind-pla,PMID:37252684,37252684,"Effect of green-lipped mussel (Perna canaliculus) supplementation on faecal microbiota, body composition and iron status markers in overweight and obese postmenopausal women: a randomised, double-blind, placebo-controlled trial.",1.000,evidence_registry.expansion,"RESEARCH ARTICLE Effect of green-lipped mussel ( Perna canaliculus) supplementation on faecal microbiota, body composition and iron status markers in overweight and obese postmenopausal women: a randomised, double-blind, placebo-controlled trial Maryam Abshirini 1, Jane Coad 2, Frances M. Wolber 2,3, Pamela von Hurst 4, Matthew R. Miller 5, Hong Sabrina Tian 2,6 and Marlena C. Kruger 1* 1Department of Human Nutrition, University of Otago, PO Box 56, Dunedin 9054, New Zealand 2School of Food and Advanced Technology, College of Sciences, Massey University, Palmerston North, New Zealand 3Centre for Metabolic Health Research, Massey University, Palmerston North, New Zealand 4School of Sport, Exercise and Nutrition, College of Health, Massey University, Auckland, New Zealand 5Cawthron Institute, Nelson, New Zealand 6Sanford Ltd., Auckland, New Zealand (Received 3 March 2023 – Final revision received 9 April 2023 – Accepted 12 April 2023) Journal of Nutritional Science (2023), vol. 12, e58, page 1 of 12 doi:10.1017/jns.2023.41 Abstract The present study aimed to determine the effect of whole meat GSM powder on gut microbiota abundance, body composition and iron status markers in healthy overweight or obese postmenopausal women. This was a 3-months trial involving forty-nine healthy postmenopausal women with body mass index (BMI) between 25 and 35 kg/m 2 who were randomly assigned to receive 3 g/d of either GSM powder ( n 25) or placebo ( n 24). The gut microbe abun- dance, serum iron status markers and body composition were measured at the baseline and the end of the study. The between-group comparison at the baseline showed a lower abundance of Bacteroides and Clostridium XIVa in the GSM group compared with the placebo ( P =0 ⋅04). At the baseline, the body fat (BF)% and gyn",
"Effects of a Probiotic Formulation Based on SF68, Phytosterols, and 6S‐5‐Methyltetrahydrofolic Acid on Body Composition, Biochem(科研通-ablesci.com).pdf","D:\Download\Effects of a Probiotic Formulation Based on SF68, Phytosterols, and 6S‐5‐Methyltetrahydrofolic Acid on Body Composition, Biochem(科研通-ablesci.com).pdf",pdf,ok,16,1d68c41428afb9c154db8872cdb9a33ab289bb3d43bc1bc7b0efdbd54077a98d,1,no,"Effects of a Probiotic Formulation Based on SF68, Phytosterols, and 6S‐5‐Methyltetrahydrofolic Acid on Body Composition, Biochemical Parameters, Gut Microbiota, and Gastrointestinal and General Symptoms of Overweight/Obese Subjects: The PrObesity Study",NCT:NCT06795607,NCT06795607,Effect of the Probiotic SF68® on Body Composition and Low-to-moderate Cardiovascular Risk,1.000,evidence_registry.draft,"Molecular Nutrition & Food Research RESEARCHARTICLE EffectsofaProbioticFormulationBasedonSF68, Phytosterols,and6S-5-MethyltetrahydrofolicAcidonBody Composition,BiochemicalParameters,GutMicrobiota,and GastrointestinalandGeneralSymptomsof Overweight/ObeseSubjects:ThePrObesityStudy GiudittaPagliai1 SimoneBaldi1 MartaTristanAsensi 1 IlariaGiangrandi2 SofiaLotti1 AlessiaBertelli1 FrancescoCei1 SaraBertorello1 GianlucaBartolucci3 SerenaBorghi1 AmedeoAmedei1,4 MatteoBecatti1 ClaudiaFiorillo1 AnnaMariaGori 1 RossellaMarcucci1 BarbaraColombini1 FrancescoSofi1,2 1DepartmentofExperimentalandClinicalMedicine,UniversityofFlorence,Florence,Italy 2UnitofNutrition,CareggiUniversityHospital,Florence,Italy 3DepartmentofNeuroscience,Psychology,DrugResearchandChildHealthNEUROFARBA,UniversityofFlorence,Florence,Italy 4NetworkofImmunityin Infection,MalignancyandAutoimmunity(NIIMA),UniversalScientificEducationandResearchNetwork(USERN),Florence,Italy Correspondence:FrancescoSofi( francesco.sofi@unifi.it) Received:8May2025 Revised:21July2025 Accepted:25July2025 Funding:ThisresearchwassupportedbyagrantfromCerbios-PharmaS.A. Keywords:cardiovascularrisk|diet|gutmicrobiota|probiotic ABSTRACT Obesity and dyslipidemia are increasingly widespread. Considering gut microbiota’s (GM) role in energy balance, probiotics representapromisingnon-pharmacologicalapproach.Thisstudyassessedaprobioticformulation(SF68 +phytosterols +(6S)- 5-methyltetrahydrofolic acid) on anthropometric, biochemical, and GM parameters, as well as gastrointestinal and general symptoms, in overweight/obese individuals with low-to-moderate cardiovascular risk. Forty participants (30F, mean age 51.5± 11years)wererandomizedtoreceiveeithertheprobioticorplacebodailyfor12weeks.Anthropometricdata,questionnaires,and biological samples were co",
Effects of probiotics  prebiotics  and synbiotics on cardiometabolic risk factors in children and adolescents with overweight or obesity  a systematic.pdf,D:\Download\Effects of probiotics  prebiotics  and synbiotics on cardiometabolic risk factors in children and adolescents with overweight or obesity  a systematic.pdf,pdf,ok,16,4151a1919898f652f09ed9eeaf2362a72abbae22879d2da1700142a53d46e422,1,no,"Effects of probiotics, prebiotics, and synbiotics on cardiometabolic risk factors in children and ad",PMID:39340527,39340527,"Effects of probiotics, prebiotics, and synbiotics on cardiometabolic risk factors in children and adolescents with overweight or obesity: a systematic review and Bayesian network meta-analysis.",1.000,evidence_registry.draft,"Critical Reviews in Food Science and Nutrition ISSN: 1040-8398 (Print) 1549-7852 (Online) Journal homepage: www.tandfonline.com/journals/bfsn20 Eﬀects of probiotics, prebiotics, and synbiotics on cardiometabolic risk factors in children and adolescents with overweight or obesity: a systematic review and Bayesian network meta- analysis Liang Zhang, Fang Wang, Rui Wang, Bowen Sun & Peng Ju Liu To cite this article: Liang Zhang, Fang Wang, Rui Wang, Bowen Sun & Peng Ju Liu (2025) Eﬀects of probiotics, prebiotics, and synbiotics on cardiometabolic risk factors in children and adolescents with overweight or obesity: a systematic review and Bayesian network meta-analysis, Critical Reviews in Food Science and Nutrition, 65:27, 5287-5301, DOI: 10.1080/10408398.2024.2409956 To link to this article: https://doi.org/10.1080/10408398.2024.2409956 © 2024 The Author(s). Published with license by Taylor & Francis Group, LLC View supplementary material Published online: 28 Sep 2024. Submit your article to this journal Article views: 4937 View related articles View Crossmark data Citing articles: 7 View citing articles Full Terms & Conditions of access and use can be found at https://www.tandfonline.com/action/journalInformation?journalCode=bfsn20",
EnM-2020-35-2-425.pdf,D:\Download\EnM-2020-35-2-425.pdf,pdf,ok,10,5a5a27c5ac9a7e39f8d8e4a3c8b01499cb4e1b2e0234ccf4369c2ea4baab112c,1,no,"terest whether probiotics have an effect on obesity, but the effectiveness and safety of only a few probiotics for the treatment of obe- sity have been reported. The purpose of this study was to investigate whether ingestion of Lactobacillus sakei (CJLS03) derived from kimchi causes weight loss in people with obesity. Methods: This randomized, double-blind, placebo-controlled, clinical trial involved 114 adults with a body mass index (BMI) ≥25",PMID:32615727,32615727,"Effect of Lactobacillus sakei, a Probiotic Derived from Kimchi, on Body Fat in Koreans with Obesity: A Randomized Controlled Study.",1.000,evidence_registry.expansion,"www.e-enm.org 425 Endocrinol Metab 2020;35:425-434 https://doi.org/10.3803/EnM.2020.35.2.425 pISSN 2093-596X · eISSN 2093-5978 Original Article Effect of Lactobacillus sakei, a Probiotic Derived from Kimchi, on Body Fat in Koreans with Obesity: A Randomized Controlled Study Soo Lim1, Ji Hye Moon1, Chol Min Shin1, Dahye Jeong2, Bongjoon Kim3 1Department of Internal Medicine, Seoul National University Bundang Hospital, Seoul National University College of Medicine, Seongnam; 2CJ Foods R&D, CJ CheilJedang Corporation; 3CJ CheilJedang Corporation, Suwon, Korea Background: The increased prevalence of obesity has led to increases in the prevalence of chronic diseases worldwide. There is in- terest whether probiotics have an effect on obesity, but the effectiveness and safety of only a few probiotics for the treatment of obe- sity have been reported. The purpose of this study was to investigate whether ingestion of Lactobacillus sakei (CJLS03) derived from kimchi causes weight loss in people with obesity. Methods: This randomized, double-blind, placebo-controlled, clinical trial involved 114 adults with a body mass index (BMI) ≥25 kg/m2 who were assigned randomly to a CJLS03 or placebo group. The groups received two allocations of either 5×109 colony- forming units of CJLS03/allocation or the equivalent vehicle for 12 weeks. Demographic and biochemical parameters, and body composition including fat and muscle mass were measured at baseline and after 12 weeks. Changes in body fat, weight, and waist circumference were compared between the two treatment groups. Adverse events were monitored during study period. Results: Body fat mass decreased by 0.2 kg in the CJLS03 group and increased by 0.6 kg in the placebo group (0.8 kg difference, P=0.018). After the 12 weeks, waist circumf",
Feasibility and Tolerability of Nabilone for the Treatment of Obesity_ A Randomized Controlled Pilot Trial(科研通-ablesci.com).pdf,D:\Download\Feasibility and Tolerability of Nabilone for the Treatment of Obesity_ A Randomized Controlled Pilot Trial(科研通-ablesci.com).pdf,pdf,ok,12,0fdfe74e764833ef6df248836d11676487b411e5e718c35f0f9176b76d3d8ca7,1,no,Feasibility and Tolerability of Nabilone for the Treatment of Obesity: A Randomized Controlled Pilot Trial,PMID:40353878,40353878,Feasibility and Tolerability of Nabilone for the Treatment of Obesity: A Randomized Controlled Pilot Trial.,1.000,evidence_registry.expansion,"ORIGINAL RESEARCH Feasibility and Tolerability of Nabilone for the Treatment of Obesity: A Randomized Controlled Pilot Trial Justin Matheson,1,2 Dominique Tertigas,3,4 Saima Malik,1 Valerie Taylor,5 Sofia Chavez,6 Keith A. Sharkey, 7 Cristoforo Silvestri,8,9 Michael Surette,3,4 and Bernard Le Foll 1,2,10–16,* Abstract Introduction: In epidemiological studies, people who use cannabis have a lower prevalence of obesity. Furthermore, the endocannabinoid system is recognized as a potential target for obesity treatment and partial agonism of the cannabinoid type-1 (CB 1) receptor may reduce body weight. We thus hypothesized that 12 weeks of pharmacotherapy with the partial CB 1 receptor agonist nabilone would reduce body weight, relative to placebo, in adults with obesity. Methods: We conducted a randomized, double-blind, placebo-controlled pilot clinical trial that investigated the feasibility, tolerability, and efﬁcacy of 12 weeks of treatment with nabilone compared with placebo in adults with obesity. Otherwise healthy adults aged 25–45 years with obesity were randomized in a 1:1:1 ratio to one of three parallel treatment arms: high-dose nabilone (6 mg/day), low-dose nabilone (2 mg/day), or placebo. Safety and fea- sibility outcomes included adverse events (AEs), number of dropouts, and medication adherence per treatment arm. Efﬁcacy outcomes included body weight, body mass index (BMI), and waist circumference. Secondary out- comes included gut microbiome changes, blood biomarkers (e.g., glucose and insulin levels), and mood. Results: Overall, 18 participants were randomized and 15 participants received at least one dose of drug (4 high-dose arm, 5 low-dose arm, 6 placebo). The trial was terminated early due to poor tolerability of the medication (e.g., all four participa",
