evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
PMID:42243519,literature,PubMed,42243519,https://pubmed.ncbi.nlm.nih.gov/42243519/,10.1038/s41366-026-02121-3,42243519,"Exercise reprograms the gut microbiota to enhance metabolic outcomes after bariatric surgery: a translational, cross-species study.",2026,International journal of obesity (2005),needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:42166751,literature,PubMed,42166751,https://pubmed.ncbi.nlm.nih.gov/42166751/,10.2196/82436,42166751,Effect of Branched-Chain Amino Acid Supplementation Alone or Combined With Tryptophan or Methionine on Appetite Control and Related Health Outcomes in Older Adults: Protocol for a Randomized Controlled Trial.,2026,JMIR research protocols,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:42142662,literature,PubMed,42142662,https://pubmed.ncbi.nlm.nih.gov/42142662/,10.1016/j.tjnut.2026.101595,42142662,"The Effects of a Powdered Meal Replacement on Inflammation, Gut Microbiota, and Metabolism in People With Excess Body Weight-A Randomized Controlled Trial.",2026,The Journal of nutrition,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:42116047,literature,PubMed,42116047,https://pubmed.ncbi.nlm.nih.gov/42116047/,10.1186/s12986-026-01124-1,42116047,"Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNFα, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial.",2026,Nutrition & metabolism,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:42105359,literature,PubMed,42105359,https://pubmed.ncbi.nlm.nih.gov/42105359/,10.1093/nutrit/nuag049,42105359,Monounsaturated Fatty Acid-Rich Foods and Gut Microbiota Composition: A Systematic Review of In Vivo Studies and Randomized Clinical Trials.,2026,Nutrition reviews,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:42097279,literature,PubMed,42097279,https://pubmed.ncbi.nlm.nih.gov/42097279/,10.1016/j.ajcnut.2026.101340,42097279,Gut microbiota responses to isocaloric macronutrient modulation in tissue-specific insulin resistance: a secondary analysis of the PERSonalized glucose Optimization through Nutritional intervention (PERSON) randomized trial.,2026,The American journal of clinical nutrition,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:42058078,literature,PubMed,42058078,https://pubmed.ncbi.nlm.nih.gov/42058078/,10.3389/fpubh.2026.1812397,42058078,"Study protocol for a pragmatic randomized controlled trial evaluating coarse-cereal intake intervention for obesity prevention among primary school students in suburban Beijing, China.",2026,Frontiers in public health,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:42044842,literature,PubMed,42044842,https://pubmed.ncbi.nlm.nih.gov/42044842/,10.1016/j.clnesp.2026.103306,42044842,"The effect of a two-week low glycaemic index, higher fibre diet versus high glycaemic index diet on body composition, ectopic lipids, inflammatory biomarkers, gastrointestinal hormones and gut microbiota in metabolic dysfunction-associated steatotic liver disease (MASLD): A pilot randomized cross-over study.",2026,Clinical nutrition ESPEN,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:41997541,literature,PubMed,41997541,https://pubmed.ncbi.nlm.nih.gov/41997541/,10.1016/j.cct.2026.108311,41997541,"Combined effectiveness of omega-3 PUFA-rich fish oil supplementation and high-intensity interval training in obesity associated metabolic dysfunction: Protocol for a double-blind, randomized clinical trial.",2026,Contemporary clinical trials,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:41875058,literature,PubMed,41875058,https://pubmed.ncbi.nlm.nih.gov/41875058/,10.1152/ajpgi.00412.2025,41875058,Improvement of glucose homeostasis during leptin treatment does not alter the intestinal microbiome in male diabetic UC Davis type-2 diabetes mellitus rats.,2026,American journal of physiology. Gastrointestinal and liver physiology,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
