evidence_id,source_database,source_accession,source_url,title,abstract,publication_types,clinical_interventions,enrollment,phase,primary_outcomes,secondary_outcomes,arms,detail_status
PMID:37111082,PubMed,37111082,https://pubmed.ncbi.nlm.nih.gov/37111082/,"Effect of a Multispecies Synbiotic Supplementation on Body Composition, Antioxidant Status, and Gut Microbiomes in Overweight and Obese Subjects: A Randomized, Double-Blind, Placebo-Controlled Study.","Studies investigating the effect of multispecies synbiotic supplementation in obesity management are limited. The current study was performed to evaluate the effects of multispecies probiotics mixed with fructooligosaccharides on body composition, antioxidant status, and gut microbiome composition in overweight and obese individuals. We employed a randomized, double-blind, placebo-controlled trial design, in which 63 individuals aged 18-45 years were assigned to receive either a synbiotic supplement or placebo for 12 weeks. The synbiotic group consumed a daily dose of 37 × 109 colony-forming units (CFU) of a unique blend of seven different probiotics, along with 2 g of fructooligosaccharides, while the placebo group consumed 2 g of maltodextrin daily. Assessments were performed at baseline, week 6, and the end of the study. The results of the study indicated that synbiotic supplementation resulted in a significant reduction in waist circumference and body fat percentage compared to the baseline measurements, as observed at 12 weeks. At the end of the study, there were no significant differences observed in body weight, BMI, waist circumference, or percentage of body fat between the synbiotic group and the placebo group. An analysis of plasma antioxidant capacity revealed that synbiotic supplementation caused a significant increase in Trolox equivalent antioxidant capacity (TEAC) and a concomitant decrease in malondialdehyde (MDA) in the test group when compared to the placebo. For the gut microbiota analysis, synbiotic supplementation significantly decreased Firmicutes abundance and the Firmicutes/Bacteroidetes (F/B) ratio at week 12 as compared to the placebo group. Nevertheless, the synbiotic group did not exhibit any substantial alterations in other biochemical blood parameters compared to the placebo group. These findings suggest that multispecies synbiotic supplementation could be a beneficial strategy to improve body composition, antioxidant status, and gut microbiome composition in overweight and obese subjects.",Randomized Controlled Trial; Journal Article,,,,,,,ok
PMID:41163054,PubMed,41163054,https://pubmed.ncbi.nlm.nih.gov/41163054/,"The effects of a newly developed beverage powder supplement on anthropometric measures, body composition, metabolic syndrome components, and appetite in obese or overweight adults: a protocol for a randomized clinical trial study.","Overweight and obesity result from excessive fat accumulation and pose significant global health challenges linked to various diseases. Recent research suggests that gut microbiota, particularly dysbiosis, is vital in obesity development. Next-generation probiotics, especially Akkermansia muciniphila, alongside compounds found in green tea extract and konjac glucomannan, offer promise in obesity management by enhancing gut microbiota balance and metabolic function. This research investigates a unique supplement that integrates these elements, proposing that it will outperform lifestyle changes alone in improving anthropometric measures, body composition, metabolic metrics, blood pressure, and appetite among overweight or obese adults.; This study will include 72 overweight or obese patients, who will be randomly assigned to either the intervention or control group within a randomized, triple-blind controlled clinical trial. The intervention group will consume 2 g of beverage sachets containing pasteurized Akkermansia muciniphila, green tea extract, and konjac glucomannan three times daily. In comparison, the control group will take 2 g of microcrystalline cellulose three times daily for 8 weeks. Evaluations of anthropometry (body mass index, waist and hip circumference), body composition (fat mass, fat-free mass, total body water, etc.), appetite using a visual analogue scale, blood pressure, and biochemical parameters including fasting blood glucose (FBS), total cholesterol (TC), triglycerides (TG), low- and high-density lipoprotein (LDL and HDL) will be conducted.; The results of this study will provide evidence for the synergistic effects of Akkermansia muciniphila combined with prebiotics in the management of obesity and its associated metabolic states.; Iranian Registry of Clinical Trials (IRCT20250222064807N2) (2025/03/26).",Journal Article; Clinical Trial Protocol,,,,,,,ok
NCT:NCT02151825,ClinicalTrials.gov,NCT02151825,https://clinicaltrials.gov/study/NCT02151825,Effect of a Synbiotic on the Gut Microbiota and Adiposity-related Markers in Healthy Overweight Subjects,,,Synbiotic; Placebo,54,NA,Changes to the gut microbiota,Body composition; Expression of genes mediating dietary energy harvest and adiposity; Adiposity-related metabolic markers,Synbiotic; Placebo,ok
NCT:NCT02125955,ClinicalTrials.gov,NCT02125955,https://clinicaltrials.gov/study/NCT02125955,"Effect of Prebiotic Intake on Adiposity, Satiety and Gut Microbiota in Overweight and Obese Children",,,Prebiotic fiber; Placebo,42,NA,Body fat,Appetite regulation,Prebiotic fiber; Placebo,ok
PMID:40409234,PubMed,40409234,https://pubmed.ncbi.nlm.nih.gov/40409234/,Effects of multi-strain probiotics supplementation on body adiposity and metabolic profile in individuals with hypertension and overweight following an energy-restricted diet: A randomized clinical trial.,"Recent evidence suggests that gut microbiota has a potential role in the pathophysiology of obesity and other cardiovascular disease (CVD) risk factors, including hypertension, dyslipidemia, and type 2 diabetes. However, clinical trials evaluating the effects of probiotics supplementation on these outcomes have found inconsistent results, probably due to the wide heterogeneity in trial designs. In addition, there is a lack of studies investigating whether probiotics can enhance the beneficial effects of caloric restriction in individuals with increased risk of CVD as individuals with hypertension and excess body adiposity. Thus, the aim of this study was to evaluate the effects of multi-strain probiotics supplementation on body adiposity, glycemic homeostasis, lipid profile, and serum adipokine levels in individuals with hypertension and excess body weight following an energy restricted diet.; A randomized, double-blind, placebo controlled clinical trial was conducted for 12 weeks. Were included 66 individuals aged between 40 and 65 years; both sexes; body mass index (BMI) ≥ 25 and < 40 kg/m2 and diagnosis of hypertension. Were excluded smokers; individuals using probiotics, prebiotics, symbiotics and antibiotics in the last 3 months; presenting diabetes, chronic kidney disease or liver failure; and pregnant and lactating women. Participants were allocated into 2 groups: group with supplementation of 8 probiotic strains in capsules (3 × 1010 CFU/day) or control group (placebo capsules). Both groups followed a low-calorie diet. Participants underwent anthropometric, body composition (dual-energy radiological absorptiometry) and biochemical (glucose metabolism, lipid profile, adiponectin, and leptin) evaluation at baseline and at the end of the study.; After 12 weeks of intervention, the probiotics group presented: a) reduction of body weight, BMI, circumferences of waist, hip and neck and waist-to-height ratio; b) decrease in total fat mass (kg); and c) reduction of glycated hemoglobin (HbA1c). In the control group, it was observed: a) significant reduction in all anthropometric variables; b) significant reduction in total fat mass (kg and %), trunk fat mass (kg), visceral fat and load capacity index. In the comparison between groups, there was a higher decrease in HbA1c in the probiotics group (p < 0.05).; Multi-strain probiotics supplementation associated with energy restriction in individuals with excess body weight and hypertension promoted a significant improvement in glucose homeostasis assessed by HbA1c. The clinical trial was registered at www.ensaiosclinicos.gov.br: RBR-7jw4ry.",Journal Article; Randomized Controlled Trial,,,,,,,ok
EUROPEPMC:42065141,PubMed,42065141,https://europepmc.org/article/MED/42065141,Effects of,"Obesity and mental health disorders are among the greatest public health challenges of the 21st century. Interestingly, an altered microbiome profile has been associated with both conditions. The aim of this randomized, double-blind, placebo-controlled clinical trial was to evaluate the effects of dietary supplementation with a specific probiotic strain (Lactiplantibacillus plantarum KABP051) on body composition and gut microbiome balance, together with measures of mood state, in a population of healthy overweight subjects. Sixty healthy, moderately stressed, nondepressed and overweight or obese volunteers were supplemented for 12 weeks with probiotic (L. plantarum KABP051; 1 billion colony forming units/day) or placebo (microcrystalline cellulose). The KABP051 group experienced significantly greater improvements compared with placebo on body composition measurements, including a reduction in body weight and waist circumference, which decreased in 1.97 ± 0.77 (mean ± SE) kg and 2.15 ± 0.81 (mean ± SE) cm versus placebo at the end of the intervention (both P < .05, mixed model for repeated measures [MMRM] and post-hoc analysis). Microbiome composition improved in KABP051 group, with significant increase in the relative abundance of Lactiplantibacillus spp. versus placebo. Body fat percentage, profile of mood states fatigue, and confusion sub-scores showed a global trend toward improvement compared with placebo, with the change at 12 weeks being significant in the three measurements in post-hoc analysis (P = .015, P = .014, and P = .016, respectively). No serious adverse events were registered during the intervention period. These results suggest that a specific strain of probiotic bacteria (L. plantarum KABP051) may have both metabolic and psychobiotic effects and may be beneficial for enhancing weight loss and body composition, improving energy (less fatigue) and mood levels while embarking on a healthy lifestyle regimen. ClinicalTrials.gov identifier: NCT06808061.",Journal Article,,,,,,,ok
PMID:33763720,PubMed,33763720,https://pubmed.ncbi.nlm.nih.gov/33763720/,"Mediterranean diet consumption affects the endocannabinoid system in overweight and obese subjects: possible links with gut microbiome, insulin resistance and inflammation.","To investigate whether a Mediterranean diet (MD) affected the plasma concentrations of endocannabinoids (ECs), N-acylethanolamines (NAEs) and their specific ratios in subjects with lifestyle risk factors for metabolic diseases. To identify the relationship between circulating levels of these compounds and gut microbiome, insulin resistance and systemic inflammation.; A parallel 8-week randomised controlled trial was performed involving 82 overweight and obese subjects aged (mean ± SEM) 43 ± 1.4 years with a BMI of 31.1 ± 0.5 kg/m2, habitual Western diet (CT) and sedentary lifestyle. Subjects were randomised to consume an MD tailored to their habitual energy and macronutrient intake (n = 43) or to maintain their habitual diet (n = 39). Endocannabinoids and endocannabinoid-like molecules, metabolic and inflammatory markers and gut microbiome were monitored over the study period.; The MD intervention lowered plasma arachidonoylethanolamide (AEA, p = 0.02), increased plasma oleoylethanolamide/palmitoylethanolamide (OEA/PEA, p = 0.009) and OEA/AEA (p = 0.006) and increased faecal Akkermansia muciniphila (p = 0.026) independent of body weight changes. OEA/PEA positively correlated with abundance of key microbial players in diet-gut-health interplay and MD adherence. Following an MD, individuals with low-plasma OEA/PEA at baseline decreased homeostatic model assessment of insulin resistance index (p = 0.01), while individuals with high-plasma OEA/PEA decreased serum high-sensitive C-reactive protein (p = 0.02).; We demonstrated that a switch from a CT to an isocaloric MD affects the endocannabinoid system and increases A. muciniphila abundance in the gut independently of body weight changes. Endocannabinoid tone and microbiome functionality at baseline drives an individualised response to an MD in ameliorating insulin sensitivity and inflammation. Clinical Trial Registry number and website NCT03071718; www.clinicaltrials.gov.",Journal Article; Randomized Controlled Trial,,,,,,,ok
PMID:36879442,PubMed,36879442,https://pubmed.ncbi.nlm.nih.gov/36879442/,"Effects of weight loss and feeding specially formulated diets on the body composition, blood metabolite profiles, voluntary physical activity, and fecal metabolites and microbiota of obese dogs.","Canine obesity negatively influences health and well-being, but can be managed by altering diet composition and caloric intake. Restricted feeding, dietary intervention, and consequent weight loss may be used to improve health and modify gastrointestinal microbiota. In this study, we aimed to determine the effects of restricted feeding of specially formulated foods on weight loss, body composition, voluntary physical activity, serum hormones and oxidative stress markers, and fecal metabolites and microbiota populations of obese dogs. Twenty-four obese dogs [body weight (BW) = 15.2 ± 1.7 kg; body condition score (BCS) = 8.7 ± 0.4; muscle condition score (MCS) = 3.5 ± 0.3; age = 7.2 ± 1.6 yr] were used in a 24-wk study. A control (OR) food was fed during a 4-wk baseline to identify intake needed to maintain BW. After baseline, dogs were allotted to one of two diets: OR or test (FT), and then fed to lose 1.5% BW/wk. Food intake, BW, BCS, and MCS were measured, blood and fecal samples were collected, DEXA scans were performed, and voluntary physical activity was measured over time. Microbiota data were evaluated using QIIME2 and change from baseline data from other measures were evaluated using the Mixed Models procedure of SAS, with P < 0.05 being significant. Restricted feeding led to reduced BW, BCS, fat mass, and blood cholesterol, triglyceride, glucose, and leptin concentrations, and increased MCS and lean body mass percentage. Blood cholesterol reduction was greater in dogs fed FT vs. OR. Fecal metabolites and bacterial alpha-diversity were affected by diet and weight loss. Dogs fed FT had greater reductions in fecal short-chain fatty acid, branched-chain fatty acid, and ammonia concentrations than those fed OR. Dogs fed OR had a higher alpha-diversity than those fed FT. Weight loss increased alpha-diversity (weeks 16, 20, and 24 > weeks 0 and 4). Beta-diversity showed separation between dietary groups and between week 0 and all other time points after week 8. Weight loss increased fecal Allobaculum and Ruminococcus torques. Weight loss also increased fecal Bifidobacterium, Faecalibaculum, and Parasutterella, but were greater in dogs fed OR. Weight loss decreased fecal Collinsella, Turicibacter, Blautia, Ruminococcus gnavus, Faecalibacterium, and Peptoclostridium, but were greater in dogs fed OR. In summary, restricted feeding promoted safe weight and fat loss, reduced blood lipid and leptin concentrations, and altered fecal microbiota of obese dogs.",Journal Article,,,,,,,ok
PMID:37181156,PubMed,37181156,https://pubmed.ncbi.nlm.nih.gov/37181156/,Supplementation with inulin-type fructans affects gut microbiota and attenuates some of the cardiometabolic benefits of a plant-based diet in individuals with overweight or obesity.,"The gut microbiota has emerged as a potential therapeutic target to improve the management of obesity and its comorbidities.; We investigated the impact of a high fiber (∼38 g/d) plant-based diet, consumed ad libitum, with or without added inulin-type fructans (ITF), on the gut microbiota composition and cardiometabolic outcomes in subjects with obesity. We also tested if baseline Prevotella/Bacteroides (P/B) ratio predicts weight loss outcomes.; This is a secondary exploratory analysis from the PREVENTOMICS study, in which 100 subjects (82 completers) aged 18-65 years with body mass index 27-40 kg/m2 were randomized to 10 weeks of double-blinded treatment with a personalized or a generic plant-based diet. Changes from baseline to end-of-trial in gut microbiota composition (16S rRNA gene amplicon sequencing), body composition, cardiometabolic health and inflammatory markers were evaluated in the whole cohort (n = 82), and also compared in the subgroup of subjects who were supplemented with an additional 20 g/d ITF-prebiotics (n = 21) or their controls (n = 22).; In response to the plant-based diet, all subjects lost weight (-3.2 [95% CI -3.9, -2.5] kg) and experienced significant improvements in body composition and cardiometabolic health indices. Addition of ITF to the plant-based diet reduced microbial diversity (Shannon index) and selectively increased Bifidobacterium and Faecalibacterium (q < 0.05). The change in the latter was significantly associated with higher values of insulin and HOMA-IR and lower HDL cholesterol. In addition, the LDL:HDL ratio and the concentrations of IL-10, MCP-1 and TNFα were significantly elevated in the ITF-subgroup. There was no relationship between baseline P/B ratio and changes in body weight (r = -0.07, p = 0.53).; A plant-based diet consumed ad libitum modestly decreases body weight and has multiple health benefits in individuals with obesity. Addition of ITF-prebiotics on top this naturally fiber-rich background selectively changes gut microbiota composition and attenuates some of the realized cardiometabolic benefits.; [https://clinicaltrials.gov/ct2/show/NCT04590989], identifier [NCT04590989].",Journal Article,,,,,,,ok
PMID:40827948,PubMed,40827948,https://pubmed.ncbi.nlm.nih.gov/40827948/,Long-term efficacy of dapagliflozin combined with Bifidobacterium triple viable tablets on metabolic syndrome and gut microbiota in overweight/obese patients with type 2 diabetes.,"The rising global prevalence of type 2 diabetes (T2D) necessitates innovative therapies targeting glycemic control and metabolic complications. SGLT2 inhibitors improve cardiorenal outcomes and may modulate gut microbiota, while specific probiotics demonstrate glycemic and lipid benefits. However, synergistic effects of combining SGLT2 inhibitors with probiotics remain unexplored.; This 24-week randomized controlled trial enrolled 120 overweight/obese T2D patients (BMI ≥ 24 kg/m2, HbA1c ≥ 7.0%). Participants were randomized to dapagliflozin (10 mg/day) alone (control, n = 60) or dapagliflozin plus triple viable tablets, containing Bifidobacterium longum, Lactobacillus acidophilus and Enterococcus faecalis (six tablets/day, ≥1.0 × 107 CFU/g/strain; experimental, n = 60). The primary outcome was HbA1c change; secondary outcomes included weight, lipid profiles, blood pressure, gut microbiota (qPCR quantification), and safety. Analyses used mixed-effects models (completers: 57 control, 58 experimental) and Spearman correlations.; The experimental group showed superior improvements in weight (-5.2 kg vs -3.1 kg), HbA1c (-1.8% vs -0.8%), LDL-C (-0.5 vs -0.3 mmol/L), HDL-C (+0.17 vs +0.07 mmol/L), and HOMA-IR (-1.2 vs -0.6) compared to controls (all P < 0.05). Gut microbiota analysis revealed increased Bifidobacterium (7.3 vs 5.5 log CFU/g, P < 0.001), reduced Enterobacteriaceae (4.5 vs 6.5 log CFU/g, P = 0.003), and a higher gram-positive/negative ratio (1.12 vs 0.70, P = 0.001). Bifidobacterium abundance correlated with HbA1c reduction (r = -0.42, P = 0.008), while gram-positive/negative ratio was linked to improved HDL-C (r = 0.26, P = 0.041). Adverse events were comparable between groups (28.3 vs 25.0%, P = 0.672).; Combining dapagliflozin with Bifidobacterium probiotics enhances metabolic outcomes and favorably modulates gut microbiota in T2D patients. These findings support microbiota-targeted adjunctive therapy to optimize SGLT2 inhibitor efficacy.",Journal Article,,,,,,,ok
