evidence_id,source_database,source_accession,doi,pmid,title,year,evidence_type,priority,relevance_score,study_tag,intervention_type_hint,taxa_hint,outcome_hint,needs_manual_review,source_url,queue_rank,queue_reason
PMID:40077569,PubMed,40077569,10.3390/foods14050866,40077569,"Effects of Liupao Tea with Different Years of Aging on Glycolipid Metabolism, Body Composition, and Gut Microbiota in Adults with Obesity or Overweight: A Randomized, Double-Blind Study.",2025,literature,high,5,randomized_controlled_trial,,,weight;body_composition;lipid;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/40077569/,1,priority=high; relevance=5; study_tag=randomized_controlled_trial; outcomes=weight;body_composition;lipid;microbiome
EUROPEPMC:40409234,PubMed,40409234,10.1016/j.clnu.2025.05.005,40409234,Effects of multi-strain probiotics supplementation on body adiposity and metabolic profile in individuals with hypertension and overweight following an energy-restricted diet: A randomized clinical trial.,2025,literature,high,4,randomized_controlled_trial,probiotic,,weight;glucose,true,https://europepmc.org/article/MED/40409234,2,priority=high; relevance=4; study_tag=randomized_controlled_trial; outcomes=weight;glucose
PMID:39802638,PubMed,39802638,10.1002/mco2.70044,39802638,"Comparison of diet and exercise on cardiometabolic factors in young adults with overweight/obesity: multiomics analysis and gut microbiota prediction, a randomized controlled trial.",2025,literature,high,4,randomized_controlled_trial,,,weight;glucose;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/39802638/,3,priority=high; relevance=4; study_tag=randomized_controlled_trial; outcomes=weight;glucose;microbiome
PMID:41479657,PubMed,41479657,10.3389/fnut.2025.1718169,41479657,"Targeting gut microbiota with short-chain fructo-oligosaccharides prebiotic fibers to support metabolic health in overweight prediabetic adults: a randomized, double-blinded, placebo-controlled study.",2025,literature,high,4,randomized_controlled_trial,prebiotic,,weight;glucose;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/41479657/,4,priority=high; relevance=4; study_tag=randomized_controlled_trial; outcomes=weight;glucose;microbiome
PMID:39410163,PubMed,39410163,10.3390/foods13193128,39410163,"Effects of a Sorghum Beverage with Lacticaseibacillus paracasei on Body Composition, Lipid Profiles, and Intestinal Health in Overweight and Obese Adults: A Randomized Single-Blind Pilot Study.",2024,literature,high,4,randomized_controlled_trial,,Lacticaseibacillus,weight;body_composition;lipid,true,https://pubmed.ncbi.nlm.nih.gov/39410163/,5,priority=high; relevance=4; study_tag=randomized_controlled_trial; taxa=Lacticaseibacillus; outcomes=weight;body_composition;lipid
PMID:37252684,PubMed,37252684,10.1017/jns.2023.41,37252684,"Effect of green-lipped mussel (Perna canaliculus) supplementation on faecal microbiota, body composition and iron status markers in overweight and obese postmenopausal women: a randomised, double-blind, placebo-controlled trial.",2023,literature,high,4,randomized_controlled_trial,,,weight;body_composition;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/37252684/,6,priority=high; relevance=4; study_tag=randomized_controlled_trial; outcomes=weight;body_composition;microbiome
EUROPEPMC:41459804,PubMed,41459804,10.1080/19490976.2025.2606473,41459804,"Effects of a slowly fermentable fiber mixture against the background of a high-protein diet on insulin sensitivity and metabolic health in individuals with overweight: a randomized, placebo-controlled trial.",2026,literature,high,3,randomized_controlled_trial,,,weight;glucose,true,https://europepmc.org/article/MED/41459804,7,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=weight;glucose
EUROPEPMC:PMC12986909,publisher supplementary data,PMC12986909,,,Green Tea Catechin Plus Inulin Improves Insulin Resistance Without Reducing Visceral Fat and Shows Exploratory Gut Microbiota Signals in Adults with Visceral Obesity: A Double-Blind Randomized Controlled Trial,2026,literature,high,3,randomized_controlled_trial,,,glucose;microbiome,true,,8,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=glucose;microbiome
PMID:41861447,PubMed,41861447,10.1016/j.clnu.2026.106618,41861447,"Effects of hypocaloric wholegrain rye vs refined wheat diets on weight loss, cardiometabolic risk factors and gut microbiota: A 12-week randomized controlled trial.",2026,literature,high,3,randomized_controlled_trial,,,weight;glucose;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/41861447/,9,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=weight;glucose;microbiome
PMID:42044842,PubMed,42044842,10.1016/j.clnesp.2026.103306,42044842,"The effect of a two-week low glycaemic index, higher fibre diet versus high glycaemic index diet on body composition, ectopic lipids, inflammatory biomarkers, gastrointestinal hormones and gut microbiota in metabolic dysfunction-associated steatotic liver disease (MASLD): A pilot randomized cross-over study.",2026,literature,high,3,randomized_controlled_trial,,,body_composition;lipid;glucose;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/42044842/,10,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=body_composition;lipid;glucose;microbiome
EUROPEPMC:40400804,PubMed,40400804,10.7759/cureus.82613,40400804,"Impact of a Probiotic-Fiber Blend on Body Weight, Metabolic Regulation, and Digestive Function in Obese Adults: A Randomized, Placebo-Controlled, Multicentric Trial.",2025,literature,high,3,randomized_controlled_trial,probiotic,,weight;glucose,true,https://europepmc.org/article/MED/40400804,11,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=weight;glucose
EUROPEPMC:40416368,PubMed,40416368,10.3389/fnut.2025.1542145,40416368,"Effect of <i>Bacillus coagulans</i> BC99 supplementation on body weight and gut microbiota in overweight and obese individual: a randomized, double-blind, placebo-controlled study.",2025,literature,high,3,randomized_controlled_trial,,Bacillus,weight;microbiome,true,https://europepmc.org/article/MED/40416368,12,priority=high; relevance=3; study_tag=randomized_controlled_trial; taxa=Bacillus; outcomes=weight;microbiome
EUROPEPMC:40735396,PubMed,40735396,10.1002/fsn3.70434,40735396,"The Effects of Probiotics Consumption on Blood Pressure, Lipid Profile, Glycemic Indices, and Inflammatory Parameters in Overweight and Obese Adults: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.",2025,literature,high,3,meta_analysis_or_systematic_review,probiotic,,weight;lipid,true,https://europepmc.org/article/MED/40735396,13,priority=high; relevance=3; study_tag=meta_analysis_or_systematic_review; outcomes=weight;lipid
PMID:40106235,PubMed,40106235,10.1089/chi.2024.0344,40106235,Childhood Obesity Body Mass Index and Gut Microbiome: A Cluster Randomized Controlled Pilot Feasibility Study.,2025,literature,high,3,randomized_controlled_trial,,,BMI;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/40106235/,14,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=BMI;microbiome
PMID:40451504,PubMed,40451504,10.1016/j.clnesp.2025.05.045,40451504,"Comparing the effects of yogurt containing Akkermansia muciniphilia postbiotic with yogurt containing Lactobacillus rhamnosus postbiotic on body composition, biochemical indices, appetite, and depression scores in overweight or obese adults: A randomized, double-blind, controlled clinical trial.",2025,literature,high,3,randomized_controlled_trial,postbiotic,Lactobacillus;Akkermansia,weight;body_composition,true,https://pubmed.ncbi.nlm.nih.gov/40451504/,15,priority=high; relevance=3; study_tag=randomized_controlled_trial; taxa=Lactobacillus;Akkermansia; outcomes=weight;body_composition
PMID:40573158,PubMed,40573158,10.3390/nu17122047,40573158,Modulation of Gut Microbiota by Whole Encapsulated Brown Seaweed (Himanthalia elongata) in Overweight Subjects: A Randomized Double-Blind Placebo-Controlled Trial.,2025,literature,high,3,randomized_controlled_trial,,,weight;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/40573158/,16,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=weight;microbiome
PMID:41659802,PubMed,41659802,10.3389/fnut.2025.1686416,41659802,Effects of modified fasting therapy on tongue coating and gut microbiome in overweight and obese adults: a controlled clinical trial.,2025,literature,high,3,needs_manual_classification,,,weight;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/41659802/,17,priority=high; relevance=3; study_tag=needs_manual_classification; outcomes=weight;microbiome
PMID:38393021,PubMed,38393021,10.3390/metabo14020129,38393021,The Efficacy of Lactobacillus delbrueckii ssp. bulgaricus Supplementation in Managing Body Weight and Blood Lipids of People with Overweight: A Randomized Pilot Trial.,2024,literature,high,3,randomized_controlled_trial,,Lactobacillus,weight;lipid,true,https://pubmed.ncbi.nlm.nih.gov/38393021/,18,priority=high; relevance=3; study_tag=randomized_controlled_trial; taxa=Lactobacillus; outcomes=weight;lipid
PMID:38419068,PubMed,38419068,10.1186/s13063-024-07996-z,38419068,"Effects of a chronotype-adapted diet on weight loss, cardiometabolic health, and gut microbiota: study protocol for a randomized controlled trial.",2024,literature,high,3,randomized_controlled_trial,,,weight;glucose;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/38419068/,19,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=weight;glucose;microbiome
PMID:38926901,PubMed,38926901,10.1186/s13063-024-08221-7,38926901,"Effects of whole-body vibration on body composition, microbiota, cardiometabolic markers, physical fitness, and quality of life after bariatric surgery: protocol for a randomized controlled trial.",2024,literature,high,3,randomized_controlled_trial,,,body_composition;glucose;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/38926901/,20,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=body_composition;glucose;microbiome
PMID:39415279,PubMed,39415279,10.1186/s12986-024-00851-7,39415279,"Effect of Sinetrol(®) Xpur on metabolic health and adiposity by interactions with gut microbiota: a randomized, open label, dose-response clinical trial.",2024,literature,high,3,randomized_controlled_trial,,,glucose;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/39415279/,21,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=glucose;microbiome
PMID:39639405,PubMed,39639405,10.1186/s13102-024-01029-7,39639405,Gut microbiota and metabolic responses to a 12-week caloric restriction combined with strength and HIIT training in patients with obesity: a randomized trial.,2024,literature,high,3,randomized_controlled_trial,,,glucose;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/39639405/,22,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=glucose;microbiome
PMID:35487505,PubMed,35487505,10.4093/dmj.2021.0370,35487505,"Effect of Lactobacillus plantarum LMT1-48 on Body Fat in Overweight Subjects: A Randomized, Double-Blind, Placebo-Controlled Trial.",2023,literature,high,3,randomized_controlled_trial,,Lactobacillus,weight;body_composition,true,https://pubmed.ncbi.nlm.nih.gov/35487505/,23,priority=high; relevance=3; study_tag=randomized_controlled_trial; taxa=Lactobacillus; outcomes=weight;body_composition
PMID:36484872,PubMed,36484872,10.1007/s12519-022-00664-9,36484872,"Effects of synbiotic supplementation on anthropometric indices and body composition in overweight or obese children and adolescents: a randomized, double-blind, placebo-controlled clinical trial.",2023,literature,high,3,randomized_controlled_trial,synbiotic,,weight;body_composition,true,https://pubmed.ncbi.nlm.nih.gov/36484872/,24,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=weight;body_composition
PMID:36793105,PubMed,36793105,10.1186/s13063-023-07115-4,36793105,"Design of the Building Research in CRC prevention (BRIDGE-CRC) trial: a 6-month, parallel group Mediterranean diet and weight loss randomized controlled lifestyle intervention targeting the bile acid-gut microbiome axis to reduce colorectal cancer risk among African American/Black adults with obesity.",2023,literature,high,3,randomized_controlled_trial,,,weight;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/36793105/,25,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=weight;microbiome
PMID:37084470,PubMed,37084470,10.1016/j.clnu.2023.03.017,37084470,Randomized controlled trials reporting the effects of probiotics in individuals with overweight and obesity: A critical review of the interventions and body adiposity parameters.,2023,literature,high,3,randomized_controlled_trial,probiotic,,weight,true,https://pubmed.ncbi.nlm.nih.gov/37084470/,26,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=weight
PMID:34444671,PubMed,34444671,10.3390/nu13082512,34444671,"Effects of 60-Day Saccharomyces boulardii and Superoxide Dismutase Supplementation on Body Composition, Hunger Sensation, Pro/Antioxidant Ratio, Inflammation and Hormonal Lipo-Metabolic Biomarkers in Obese Adults: A Double-Blind, Placebo-Controlled Trial.",2021,literature,high,3,randomized_controlled_trial,,Saccharomyces,body_composition;glucose,true,https://pubmed.ncbi.nlm.nih.gov/34444671/,27,priority=high; relevance=3; study_tag=randomized_controlled_trial; taxa=Saccharomyces; outcomes=body_composition;glucose
PMID:32234652,PubMed,32234652,10.1016/j.nut.2020.110749,32234652,Gut microbiota composition after diet and probiotics in overweight breast cancer survivors: a randomized open-label pilot intervention trial.,2020,literature,high,3,randomized_controlled_trial,probiotic,,weight;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/32234652/,28,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=weight;microbiome
PMID:28730743,PubMed,28730743,10.1002/mnfr.201700484,28730743,Inulin-type fructans and whey protein both modulate appetite but only fructans alter gut microbiota in adults with overweight/obesity: A randomized controlled trial.,2017,literature,high,3,randomized_controlled_trial,,,weight;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/28730743/,29,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=weight;microbiome
PMID:24795503,PubMed,24795503,10.1155/2014/348959,24795503,"Effect of probiotic (VSL#3) and omega-3 on lipid profile, insulin sensitivity, inflammatory markers, and gut colonization in overweight adults: a randomized, controlled trial.",2014,literature,high,3,randomized_controlled_trial,probiotic,,weight;lipid;glucose,true,https://pubmed.ncbi.nlm.nih.gov/24795503/,30,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=weight;lipid;glucose
EUROPEPMC:42197276,PubMed,42197276,10.3390/molecules31101722,42197276,"Combined Probiotic <i>Lactiplantibacillus plantarum</i> ECGC 13110402 and Plant Sterol Supplement May Improve Lipids and Gut Microbiota in Coeliac Adults: A Randomised, Placebo-Controlled Pilot Human Intervention Study.",2026,literature,high,2,randomized_controlled_trial,probiotic,Lactiplantibacillus,lipid;microbiome,true,https://europepmc.org/article/MED/42197276,31,priority=high; relevance=2; study_tag=randomized_controlled_trial; taxa=Lactiplantibacillus; outcomes=lipid;microbiome
PMID:41609510,PubMed,41609510,10.1080/27697061.2025.2610805,41609510,"Supplementation With Lactococcus lactis LMG 27352: Lack of Beneficial Effects on Cardiometabolic Risk in Obese Patients Without Concomitant Dietary Intervention-A Randomized, Triple-Blind, Placebo-Controlled Clinical Trial.",2026,literature,high,2,randomized_controlled_trial,,,glucose,true,https://pubmed.ncbi.nlm.nih.gov/41609510/,32,priority=high; relevance=2; study_tag=randomized_controlled_trial; outcomes=glucose
PMID:41667211,PubMed,41667211,10.1017/S000711452610645X,41667211,Big breakfast diet composition impacts on appetite control and gut health: a randomised weight loss trial in adults with overweight or obesity.,2026,literature,high,2,randomized_controlled_trial,,,weight,true,https://pubmed.ncbi.nlm.nih.gov/41667211/,33,priority=high; relevance=2; study_tag=randomized_controlled_trial; outcomes=weight
PMID:41997541,PubMed,41997541,10.1016/j.cct.2026.108311,41997541,"Combined effectiveness of omega-3 PUFA-rich fish oil supplementation and high-intensity interval training in obesity associated metabolic dysfunction: Protocol for a double-blind, randomized clinical trial.",2026,literature,high,2,randomized_controlled_trial,,,glucose,true,https://pubmed.ncbi.nlm.nih.gov/41997541/,34,priority=high; relevance=2; study_tag=randomized_controlled_trial; outcomes=glucose
PMID:42097279,PubMed,42097279,10.1016/j.ajcnut.2026.101340,42097279,Gut microbiota responses to isocaloric macronutrient modulation in tissue-specific insulin resistance: a secondary analysis of the PERSonalized glucose Optimization through Nutritional intervention (PERSON) randomized trial.,2026,literature,high,2,randomized_controlled_trial,,,glucose;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/42097279/,35,priority=high; relevance=2; study_tag=randomized_controlled_trial; outcomes=glucose;microbiome
PMID:42142662,PubMed,42142662,10.1016/j.tjnut.2026.101595,42142662,"The Effects of a Powdered Meal Replacement on Inflammation, Gut Microbiota, and Metabolism in People With Excess Body Weight-A Randomized Controlled Trial.",2026,literature,high,2,randomized_controlled_trial,,,weight;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/42142662/,36,priority=high; relevance=2; study_tag=randomized_controlled_trial; outcomes=weight;microbiome
EUROPEPMC:40676704,PubMed,40676704,10.1186/s12986-025-00969-2,40676704,"Multi-omics analyses the effect of Bifidobacterium longum subsp. longum BL21 supplementation on overweight and obese subjects: a randomized, double-blind, placebo-controlled study.",2025,literature,high,2,randomized_controlled_trial,,Bifidobacterium,weight,true,https://europepmc.org/article/MED/40676704,37,priority=high; relevance=2; study_tag=randomized_controlled_trial; taxa=Bifidobacterium; outcomes=weight
NCT:NCT07306988,ClinicalTrials.gov,NCT07306988,,,Eradication of Helicobacter Pylori Improves Metabolic Syndrome Through Modulation of Gut Microbiota.,2025,clinical_trial,high,2,clinical_trial_registry,,,glucose;microbiome,true,https://clinicaltrials.gov/study/NCT07306988,38,priority=high; relevance=2; study_tag=clinical_trial_registry; outcomes=glucose;microbiome
PMID:40390848,PubMed,40390848,10.1002/fsn3.70298,40390848,"Effects of Daily Kombu (Laminaria japonica) Intake on Body Composition, Blood Pressure, and Fecal Microbiota in Healthy Adult Japanese: A Randomized, Double-Blind Study.",2025,literature,high,2,randomized_controlled_trial,,,body_composition;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/40390848/,39,priority=high; relevance=2; study_tag=randomized_controlled_trial; outcomes=body_composition;microbiome
PMID:40536121,PubMed,40536121,10.1111/dom.16535,40536121,"Interaction between dietary omega-3 polyunsaturated fatty acids, obesity and gut microbiota in preclinical models: A systematic review of randomized controlled trials.",2025,literature,high,2,meta_analysis_or_systematic_review,,,microbiome,true,https://pubmed.ncbi.nlm.nih.gov/40536121/,40,priority=high; relevance=2; study_tag=meta_analysis_or_systematic_review; outcomes=microbiome
PMID:40802664,PubMed,40802664,10.1371/journal.pone.0328774,40802664,Effects of Baobab fruit powder on gut and cardiometabolic health in obesity-Protocol for a randomised placebo-controlled trial.,2025,literature,high,2,randomized_controlled_trial,,,glucose,true,https://pubmed.ncbi.nlm.nih.gov/40802664/,41,priority=high; relevance=2; study_tag=randomized_controlled_trial; outcomes=glucose
PMID:40977640,PubMed,40977640,10.1039/d5fo02449h,40977640,Effects of dietary energy restriction of ultra-processed foods compared to a generic energy restriction on the intestinal microbiota of individuals with obesity: a secondary analysis of a randomized clinical trial.,2025,literature,high,2,randomized_controlled_trial,,,microbiome,true,https://pubmed.ncbi.nlm.nih.gov/40977640/,42,priority=high; relevance=2; study_tag=randomized_controlled_trial; outcomes=microbiome
PMID:41075788,PubMed,41075788,10.1016/j.xcrm.2025.102417,41075788,Food- vs. supplement-based very-low-energy diets and gut microbiome composition in women with high body mass index: A randomized controlled trial.,2025,literature,high,2,randomized_controlled_trial,,,BMI;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/41075788/,43,priority=high; relevance=2; study_tag=randomized_controlled_trial; outcomes=BMI;microbiome
PMID:41141981,PubMed,41141981,10.2147/DMSO.S558226,41141981,Investigating the Microbiota-Gut-Brain Axis Mechanisms of Transcutaneous Auricular Vagus Nerve Stimulation in Patients with Obesity: A Study Protocol for a Randomized Controlled Trial.,2025,literature,high,2,randomized_controlled_trial,,,microbiome,true,https://pubmed.ncbi.nlm.nih.gov/41141981/,44,priority=high; relevance=2; study_tag=randomized_controlled_trial; outcomes=microbiome
PMID:41163367,PubMed,41163367,10.1080/19490976.2025.2570862,41163367,Gut enterotype- and body mass index (BMI)-dependent effects of anthocyanin supplementation on gut microbiota composition in individuals at risk for cognitive decline: a randomized placebo-controlled trial.,2025,literature,high,2,randomized_controlled_trial,,,BMI;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/41163367/,45,priority=high; relevance=2; study_tag=randomized_controlled_trial; outcomes=BMI;microbiome
NCT:NCT06423287,ClinicalTrials.gov,NCT06423287,,,Effects of TRE With Lactobacillus Plantarum LP-KFY04 Supplementation on Overweight / Obese Individuals,2024,clinical_trial,high,2,clinical_trial_registry,,Lactobacillus,weight,true,https://clinicaltrials.gov/study/NCT06423287,46,priority=high; relevance=2; study_tag=clinical_trial_registry; taxa=Lactobacillus; outcomes=weight
PMID:37793780,PubMed,37793780,10.1136/gutjnl-2023-330365,37793780,Prebiotic diet changes neural correlates of food decision-making in overweight adults: a randomised controlled within-subject cross-over trial.,2024,literature,high,2,randomized_controlled_trial,prebiotic,,weight,true,https://pubmed.ncbi.nlm.nih.gov/37793780/,47,priority=high; relevance=2; study_tag=randomized_controlled_trial; outcomes=weight
PMID:38246355,PubMed,38246355,10.1016/j.tjnut.2023.12.022,38246355,Daily Cashew and Brazil Nut Consumption Modifies Intestinal Health in Overweight Women on Energy-Restricted Intervention: A Randomized Controlled Trial (Brazilian Nuts Study).,2024,literature,high,2,randomized_controlled_trial,,,weight,true,https://pubmed.ncbi.nlm.nih.gov/38246355/,48,priority=high; relevance=2; study_tag=randomized_controlled_trial; outcomes=weight
PMID:38713231,PubMed,38713231,10.1007/s00394-024-03415-w,38713231,"Effect of prebiotic fiber on physical function and gut microbiota in adults, mostly women, with knee osteoarthritis and obesity: a randomized controlled trial.",2024,literature,high,2,randomized_controlled_trial,prebiotic,,microbiome,true,https://pubmed.ncbi.nlm.nih.gov/38713231/,49,priority=high; relevance=2; study_tag=randomized_controlled_trial; outcomes=microbiome
PMID:39594049,PubMed,39594049,10.3390/foods13223635,39594049,"The Impact of Green Tea Kombucha on the Intestinal Health, Gut Microbiota, and Serum Metabolome of Individuals with Excess Body Weight in a Weight Loss Intervention: A Randomized Controlled Trial.",2024,literature,high,2,randomized_controlled_trial,,,weight;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/39594049/,50,priority=high; relevance=2; study_tag=randomized_controlled_trial; outcomes=weight;microbiome
PMID:39664910,PubMed,39664910,10.3389/fnut.2024.1510318,39664910,Effect of synbiotic supplementation on obesity and gut microbiota in obese adults: a double-blind randomized controlled trial.,2024,literature,high,2,randomized_controlled_trial,synbiotic,,microbiome,true,https://pubmed.ncbi.nlm.nih.gov/39664910/,51,priority=high; relevance=2; study_tag=randomized_controlled_trial; outcomes=microbiome
NCT:NCT06313580,ClinicalTrials.gov,NCT06313580,,,Spices for Cultivating a Healthy Gut Microbiome and Cardiometabolic Profile,2023,clinical_trial,high,2,clinical_trial_registry,,,glucose;microbiome,true,https://clinicaltrials.gov/study/NCT06313580,52,priority=high; relevance=2; study_tag=clinical_trial_registry; outcomes=glucose;microbiome
PMID:35714163,PubMed,35714163,10.1080/1028415X.2022.2081288,35714163,Lacticaseibacillus rhamnosus HA-114 improves eating behaviors and mood-related factors in adults with overweight during weight loss: a randomized controlled trial.,2023,literature,high,2,randomized_controlled_trial,,Lacticaseibacillus,weight,true,https://pubmed.ncbi.nlm.nih.gov/35714163/,53,priority=high; relevance=2; study_tag=randomized_controlled_trial; taxa=Lacticaseibacillus; outcomes=weight
PMID:37082115,PubMed,37082115,10.3389/fendo.2023.1096093,37082115,Time-restricted feeding's effect on overweight and obese patients with chronic kidney disease stages 3-4: A prospective non-randomized control pilot study.,2023,literature,high,2,randomized_controlled_trial,,,weight,true,https://pubmed.ncbi.nlm.nih.gov/37082115/,54,priority=high; relevance=2; study_tag=randomized_controlled_trial; outcomes=weight
PMID:37709337,PubMed,37709337,10.1136/bmjopen-2022-070027,37709337,Impact of a Powdered Meal Replacement on Metabolism and Gut Microbiota (PREMIUM) in individuals with excessive body weight: a study protocol for a randomised controlled trial.,2023,literature,high,2,randomized_controlled_trial,,,weight;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/37709337/,55,priority=high; relevance=2; study_tag=randomized_controlled_trial; outcomes=weight;microbiome
PMID:35247098,PubMed,35247098,10.1007/s00394-022-02836-9,35247098,"Impact of wheat aleurone on biomarkers of cardiovascular disease, gut microbiota and metabolites in adults with high body mass index: a double-blind, placebo-controlled, randomized clinical trial.",2022,literature,high,2,randomized_controlled_trial,,,BMI;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/35247098/,56,priority=high; relevance=2; study_tag=randomized_controlled_trial; outcomes=BMI;microbiome
PMID:35351144,PubMed,35351144,10.1186/s12916-022-02299-z,35351144,Physical activity enhances the improvement of body mass index and metabolism by inulin: a multicenter randomized placebo-controlled trial performed in obese individuals.,2022,literature,high,2,randomized_controlled_trial,,,BMI,true,https://pubmed.ncbi.nlm.nih.gov/35351144/,57,priority=high; relevance=2; study_tag=randomized_controlled_trial; outcomes=BMI
NCT:NCT04886778,ClinicalTrials.gov,NCT04886778,,,Efficacy and Safety of Low-Carbohydrate Diet Combined With Probiotics for Weight Loss in Male Obese Patients.,2021,clinical_trial,high,2,clinical_trial_registry,probiotic,,weight,true,https://clinicaltrials.gov/study/NCT04886778,58,priority=high; relevance=2; study_tag=clinical_trial_registry; outcomes=weight
