evidence_id,title,evidence_role,source_file_count,source_files,confirmed_outcome_rows,current_status,remaining_manual_work
EUROPEPMC:40218949,"A 12-Week, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of <i>Lactobacillus plantarum</i> LMT1-48 on Body Fat Loss.",primary_study,1,nutrients-17-01191.pdf,3,structured_outcomes_confirmed,confirm exact table effect sizes/units where audit notes request it
EUROPEPMC:40676704,"Multi-omics analyses the effect of Bifidobacterium longum subsp. longum BL21 supplementation on overweight and obese subjects: a randomized, double-blind, placebo-controlled study.",primary_study,1,12986_2025_Article_969.pdf,3,structured_outcomes_confirmed,confirm exact table effect sizes/units where audit notes request it
EUROPEPMC:41413231,"The promising effects of a multi-species synbiotic preparation on metabolic profile in elderly patients with type 2 diabetes and high cardiovascular risk: a randomized, triple-blind, placebo-controlled trial.",primary_study,2,41387_2025_Article_408.pdf; s41387-025-00408-4_reference.pdf,4,structured_outcomes_confirmed,confirm exact table effect sizes/units where audit notes request it
NCT:NCT03261466,BIFI-OBESE: Clinical Trial in Paediatric Obesity,primary_study,1,PIIS0261561421002867.pdf,4,structured_outcomes_confirmed,confirm exact table effect sizes/units where audit notes request it
NCT:NCT06795607,Effect of the Probiotic SF68® on Body Composition and Low-to-moderate Cardiovascular Risk,primary_study,1,"Effects of a Probiotic Formulation Based on SF68, Phytosterols, and 6S‐5‐Methyltetrahydrofolic Acid on Body Composition, Biochem(科研通-ablesci.com).pdf",7,structured_outcomes_confirmed,confirm exact table effect sizes/units where audit notes request it
PMID:24795503,"Effect of probiotic (VSL#3) and omega-3 on lipid profile, insulin sensitivity, inflammatory markers, and gut colonization in overweight adults: a randomized, controlled trial.",primary_study,1,Mediators of Inflammation - 2014 - Rajkumar - Effect of Probiotic  VSL 3  and Omega‐3 on Lipid Profile  Insulin Sensitivity.pdf,3,structured_outcomes_confirmed,confirm exact table effect sizes/units where audit notes request it
PMID:28730743,Inulin-type fructans and whey protein both modulate appetite but only fructans alter gut microbiota in adults with overweight/obesity: A randomized controlled trial.,primary_study,1,Inulin‐type fructans and whey protein both modulate appetite but only fructans alter gut microbiota in adults with overweight_ob(科研通-ablesci.com).pdf,2,structured_outcomes_confirmed,confirm exact table effect sizes/units where audit notes request it
PMID:32615727,"Effect of Lactobacillus sakei, a Probiotic Derived from Kimchi, on Body Fat in Koreans with Obesity: A Randomized Controlled Study.",primary_study,1,EnM-2020-35-2-425.pdf,2,structured_outcomes_confirmed,confirm exact table effect sizes/units where audit notes request it
PMID:33763720,"Mediterranean diet consumption affects the endocannabinoid system in overweight and obese subjects: possible links with gut microbiome, insulin resistance and inflammation.",primary_study,1,394_2021_Article_2538.pdf,4,structured_outcomes_confirmed,confirm exact table effect sizes/units where audit notes request it
PMID:35247098,"Impact of wheat aleurone on biomarkers of cardiovascular disease, gut microbiota and metabolites in adults with high body mass index: a double-blind, placebo-controlled, randomized clinical trial.",primary_study,1,s00394-022-02836-9.pdf,3,structured_outcomes_confirmed,confirm exact table effect sizes/units where audit notes request it
PMID:35351144,Physical activity enhances the improvement of body mass index and metabolism by inulin: a multicenter randomized placebo-controlled trial performed in obese individuals.,primary_study,2,s12916-022-02299-z (1).pdf; s12916-022-02299-z.pdf,4,structured_outcomes_confirmed,confirm exact table effect sizes/units where audit notes request it
PMID:36944956,Effect of different doses of Lacticaseibacillus paracasei K56 on body fat and metabolic parameters in adult individuals with obesity: a pilot study.,primary_study,1,s12986-023-00739-y.pdf,4,structured_outcomes_confirmed,confirm exact table effect sizes/units where audit notes request it
PMID:37252684,"Effect of green-lipped mussel (Perna canaliculus) supplementation on faecal microbiota, body composition and iron status markers in overweight and obese postmenopausal women: a randomised, double-blind, placebo-controlled trial.",primary_study,1,effect-of-green-lipped-mussel-perna-canaliculus-supplementation-on-faecal-microbiota-body-composition-and-iron-status-markers-in-overweight-and-obese-postmenopausal-women-a-randomised-double-blind-pla.pdf,1,structured_outcomes_confirmed,confirm exact table effect sizes/units where audit notes request it
PMID:37545298,Intermittent dietary carbohydrate restriction versus calorie restriction and cardiometabolic profiles: A randomized trial.,primary_study,1,Intermittent dietary carbohydrate restriction versus calorie restriction and cardiometabolic profiles_ A randomized trial(科研通-ablesci.com).pdf,5,structured_outcomes_confirmed,confirm exact table effect sizes/units where audit notes request it
PMID:38393021,The Efficacy of Lactobacillus delbrueckii ssp. bulgaricus Supplementation in Managing Body Weight and Blood Lipids of People with Overweight: A Randomized Pilot Trial.,primary_study,1,metabolites-14-00129.pdf,3,structured_outcomes_confirmed,confirm exact table effect sizes/units where audit notes request it
PMID:38713231,"Effect of prebiotic fiber on physical function and gut microbiota in adults, mostly women, with knee osteoarthritis and obesity: a randomized controlled trial.",primary_study,2,"Effect of prebiotic fiber on physical function and gut microbiota in adults, mostly women, with knee osteoarthritis and obesity_(科研通-ablesci.com) (1).pdf; Effect of prebiotic fiber on physical function and gut microbiota in adults, mostly women, with knee osteoarthritis and obesity_(科研通-ablesci.com).pdf",2,structured_outcomes_confirmed,confirm exact table effect sizes/units where audit notes request it
PMID:40353878,Feasibility and Tolerability of Nabilone for the Treatment of Obesity: A Randomized Controlled Pilot Trial.,primary_study,1,Feasibility and Tolerability of Nabilone for the Treatment of Obesity_ A Randomized Controlled Pilot Trial(科研通-ablesci.com).pdf,3,structured_outcomes_confirmed,confirm exact table effect sizes/units where audit notes request it
PMID:40375569,"Mental health and health-related quality of life response to curcumin-probiotic drink powder co-supplementation in adults with overweight/obesity and metabolic syndrome: a four-arm randomised, double-blind, placebo-controlled, clinical trial.",primary_study,1,mental-health-and-health-related-quality-of-life-response-to-curcumin-probiotic-drink-powder-co-supplementation-in-adults-with-overweightobesity-and-metabolic-syndrome-a-four-arm-randomised-double-bli.pdf,1,structured_outcomes_confirmed,confirm exact table effect sizes/units where audit notes request it
PMID:40732984,Gut Microbiota Shifts After a Weight Loss Program in Adults with Obesity: The WLM3P Study.,primary_study,1,nutrients-17-02360.pdf,5,structured_outcomes_confirmed,confirm exact table effect sizes/units where audit notes request it
PMID:40828642,Effects of a combined energy restriction and vigorous-intensity exercise intervention on the human gut microbiome: A randomised controlled trial.,primary_study,1,The Journal of Physiology - 2025 - Davies - Effects of a combined energy restriction and vigorous‐intensity exercise.pdf,5,structured_outcomes_confirmed,confirm exact table effect sizes/units where audit notes request it
