pmid,year,title,is_open_access,sequencing_accessions,repositories,triage_status,ipd_requirement,ena_pairing_verdict,ena_pairing_note
41599863,2026,"Efficacy and Safety of CKDB-322, a Combination of <i>Lactiplantibacillus plantarum</i> Q180 and <i>Phaeodactylum tricornutum</i>, for Reducing Body Fat and Abdominal Adiposity in Overweight Adults.",Y,,Nucleotide Sequences,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,,
41978173,2026,Effect of a Synbiotic Combination of 2'-Fucosyllactose and &lt;i&gt;Lactiplantibacillus plantarum Hi188&lt;/i&gt; on Skeletal Growth and Gut Microbial Metabolism in Growing Mice.,Y,,Nucleotide Sequences,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,,
42015200,2026,Sustained-release enteric formulations of Lactiplantibacillus plantarum based on granulation technology: preparation and therapeutic evaluation in acute colitis.,Y,PRJNA1416471,BioProject,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,animal_exclude_confirmed,PRJNA1416471: mouse gut metagenome
42190464,2026,"Age, strain, and gut section shape the microbiome of commercial laying hens.",Y,PRJEB109320; PRJEB60928,BioProject; Nucleotide Sequences,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,,
41478267,2026,"Administration route and trial repetition shape the effects of a commercial synbiotic on broiler production performance, cecal microbiota and pathogen colonization.",Y,PRJNA1014358,BioProject,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,,
41924306,2026,"Oleoylethanolamide supplementation enriches Akkermansia muciniphila and modulates intestinal barrier function in adults with obesity: A randomized, double-blind, placebo-controlled trial.",Y,,Nucleotide Sequences,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,,
42255680,2026,Hydroxy-α-Sanshools From &lt;i&gt;Zanthoxylum bungeanum&lt;/i&gt; Maxim. Alleviate Obesity in Mice via the Regulation of Appetite and Gut Microbiota.,Y,,Nucleotide Sequences,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,,
41687784,2026,Impact of Yogurt and Rolled Oats Consumption on the Gut Microbiome: A Randomized Crossover Study Displaying Individual Responses and General Resilience.,Y,PRJNA1258884,BioProject,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,,
42211655,2026,Probiotics alleviate oral microbiota disruptions induced by &lt;i&gt;Helicobacter pylori&lt;/i&gt; eradication with vonoprazan-amoxicillin dual therapy: a randomized double-blind placebo-controlled trial. (An exploratory study).,Y,PRJNA1450734,BioProject,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,,
42282445,2026,&lt;i&gt;Enteromorpha prolifera&lt;/i&gt; Polysaccharide Alleviates Type 2 Diabetes via the Gut Microbiota-Liver Axis to Modulate Cholesterol Metabolism.,Y,,Nucleotide Sequences,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,,
