evidence_id,source_database,source_accession,title,outcome_domain,suggested_text,suggested_p_value,final_value,final_unit,final_direction,comparison,time_point,p_value_confirmed,sample_size_confirmed,extraction_source,reviewer,review_status,reviewer_note
PMID:41163054,PubMed,41163054,"The effects of a newly developed beverage powder supplement on anthropometric measures, body composition, metabolic syndrome components, and appetite in obese or overweight adults: a protocol for a randomized clinical trial study.",weight,Overweight and obesity result from excessive fat accumulation and pose significant global health challenges linked to various diseases.,,,,,,,,,detail_hint,codex,pending,
PMID:41163054,PubMed,41163054,"The effects of a newly developed beverage powder supplement on anthropometric measures, body composition, metabolic syndrome components, and appetite in obese or overweight adults: a protocol for a randomized clinical trial study.",BMI,"Evaluations of anthropometry (body mass index, waist and hip circumference), body composition (fat mass, fat-free mass, total body water, etc.), appetite using a visual analogue scale, blood pressure, and biochemical parameters including fasting blood glucose (FBS), total cholesterol (TC), triglycerides (TG), low- and high-density lipoprotein (LDL and HDL) will be conducted.; The results of this study will provide evidence for the synergistic effects of Akkermansia muciniphila combined with preb",,,,,,,,,detail_hint,codex,pending,
PMID:41163054,PubMed,41163054,"The effects of a newly developed beverage powder supplement on anthropometric measures, body composition, metabolic syndrome components, and appetite in obese or overweight adults: a protocol for a randomized clinical trial study.",waist,"Evaluations of anthropometry (body mass index, waist and hip circumference), body composition (fat mass, fat-free mass, total body water, etc.), appetite using a visual analogue scale, blood pressure, and biochemical parameters including fasting blood glucose (FBS), total cholesterol (TC), triglycerides (TG), low- and high-density lipoprotein (LDL and HDL) will be conducted.; The results of this study will provide evidence for the synergistic effects of Akkermansia muciniphila combined with preb",,,,,,,,,detail_hint,codex,pending,
PMID:41163054,PubMed,41163054,"The effects of a newly developed beverage powder supplement on anthropometric measures, body composition, metabolic syndrome components, and appetite in obese or overweight adults: a protocol for a randomized clinical trial study.",body_fat,"Evaluations of anthropometry (body mass index, waist and hip circumference), body composition (fat mass, fat-free mass, total body water, etc.), appetite using a visual analogue scale, blood pressure, and biochemical parameters including fasting blood glucose (FBS), total cholesterol (TC), triglycerides (TG), low- and high-density lipoprotein (LDL and HDL) will be conducted.; The results of this study will provide evidence for the synergistic effects of Akkermansia muciniphila combined with preb",,,,,,,,,detail_hint,codex,pending,
PMID:41163054,PubMed,41163054,"The effects of a newly developed beverage powder supplement on anthropometric measures, body composition, metabolic syndrome components, and appetite in obese or overweight adults: a protocol for a randomized clinical trial study.",glucose,"Evaluations of anthropometry (body mass index, waist and hip circumference), body composition (fat mass, fat-free mass, total body water, etc.), appetite using a visual analogue scale, blood pressure, and biochemical parameters including fasting blood glucose (FBS), total cholesterol (TC), triglycerides (TG), low- and high-density lipoprotein (LDL and HDL) will be conducted.; The results of this study will provide evidence for the synergistic effects of Akkermansia muciniphila combined with preb",,,,,,,,,detail_hint,codex,pending,
PMID:41163054,PubMed,41163054,"The effects of a newly developed beverage powder supplement on anthropometric measures, body composition, metabolic syndrome components, and appetite in obese or overweight adults: a protocol for a randomized clinical trial study.",lipid,"Evaluations of anthropometry (body mass index, waist and hip circumference), body composition (fat mass, fat-free mass, total body water, etc.), appetite using a visual analogue scale, blood pressure, and biochemical parameters including fasting blood glucose (FBS), total cholesterol (TC), triglycerides (TG), low- and high-density lipoprotein (LDL and HDL) will be conducted.; The results of this study will provide evidence for the synergistic effects of Akkermansia muciniphila combined with preb",,,,,,,,,detail_hint,codex,pending,
PMID:33763720,PubMed,33763720,"Mediterranean diet consumption affects the endocannabinoid system in overweight and obese subjects: possible links with gut microbiome, insulin resistance and inflammation.",weight,"To identify the relationship between circulating levels of these compounds and gut microbiome, insulin resistance and systemic inflammation.; A parallel 8-week randomised controlled trial was performed involving 82 overweight and obese subjects aged (mean &#177; SEM) 43 &#177; 1.4 years with a BMI of 31.1 &#177; 0.5 kg/m2, habitual Western diet (CT) and sedentary lifestyle.",p = 0.02; p = 0.009; p = 0.006; p = 0.026; p = 0.01,,,,,,,n = 43; n = 39,detail_hint,codex,pending,
PMID:33763720,PubMed,33763720,"Mediterranean diet consumption affects the endocannabinoid system in overweight and obese subjects: possible links with gut microbiome, insulin resistance and inflammation.",BMI,"To identify the relationship between circulating levels of these compounds and gut microbiome, insulin resistance and systemic inflammation.; A parallel 8-week randomised controlled trial was performed involving 82 overweight and obese subjects aged (mean &#177; SEM) 43 &#177; 1.4 years with a BMI of 31.1 &#177; 0.5 kg/m2, habitual Western diet (CT) and sedentary lifestyle.",p = 0.02; p = 0.009; p = 0.006; p = 0.026; p = 0.01,,,,,,,n = 43; n = 39,detail_hint,codex,pending,
PMID:33763720,PubMed,33763720,"Mediterranean diet consumption affects the endocannabinoid system in overweight and obese subjects: possible links with gut microbiome, insulin resistance and inflammation.",glucose,"To identify the relationship between circulating levels of these compounds and gut microbiome, insulin resistance and systemic inflammation.; A parallel 8-week randomised controlled trial was performed involving 82 overweight and obese subjects aged (mean &#177; SEM) 43 &#177; 1.4 years with a BMI of 31.1 &#177; 0.5 kg/m2, habitual Western diet (CT) and sedentary lifestyle.",p = 0.02; p = 0.009; p = 0.006; p = 0.026; p = 0.01,,,,,,,n = 43; n = 39,detail_hint,codex,pending,
PMID:33763720,PubMed,33763720,"Mediterranean diet consumption affects the endocannabinoid system in overweight and obese subjects: possible links with gut microbiome, insulin resistance and inflammation.",microbiome,"To identify the relationship between circulating levels of these compounds and gut microbiome, insulin resistance and systemic inflammation.; A parallel 8-week randomised controlled trial was performed involving 82 overweight and obese subjects aged (mean &#177; SEM) 43 &#177; 1.4 years with a BMI of 31.1 &#177; 0.5 kg/m2, habitual Western diet (CT) and sedentary lifestyle.",p = 0.02; p = 0.009; p = 0.006; p = 0.026; p = 0.01,,,,,,,n = 43; n = 39,detail_hint,codex,pending,
