evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
NCT:NCT06823557,clinical_trial,ClinicalTrials.gov,NCT06823557,https://clinicaltrials.gov/study/NCT06823557,,,Investigation of the Mechanisms of the Gut-brain Axis in Binge Eating and Obesity.,2025,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT05832190,clinical_trial,ClinicalTrials.gov,NCT05832190,https://clinicaltrials.gov/study/NCT05832190,,,Correcting GUT MicrobioTa by Combined Supplementation of FibERs and BIotiN to Improve Microbiome and Optimize Bariatric Surgery Outcomes,2023,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT07565675,clinical_trial,ClinicalTrials.gov,NCT07565675,https://clinicaltrials.gov/study/NCT07565675,,,The BALANCE Study - Improving Glucose Control Through Prebiotic Gut Health Drink in Postmenopausal Women,2026,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT04520724,clinical_trial,ClinicalTrials.gov,NCT04520724,https://clinicaltrials.gov/study/NCT04520724,,,Functional Roll for Non-alcoholic Fatty Liver Disease,2018,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT07559227,clinical_trial,ClinicalTrials.gov,NCT07559227,https://clinicaltrials.gov/study/NCT07559227,,,"Gut, Immune, and Vascular Health in Metabolically Healthy Obesity",2026,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT07354386,clinical_trial,ClinicalTrials.gov,NCT07354386,https://clinicaltrials.gov/study/NCT07354386,,,Effects of Dried Whole Fruits on Metabolism in Diabetes,2026,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT05908474,clinical_trial,ClinicalTrials.gov,NCT05908474,https://clinicaltrials.gov/study/NCT05908474,,,"The Effects of io Fibrewater Supplementation on Gut Health, Immunity and Metabolism in Overweight Adults",2023,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT01983046,clinical_trial,ClinicalTrials.gov,NCT01983046,https://clinicaltrials.gov/study/NCT01983046,,,Rectal Short Chain Fatty Acids Combinations and Substrate and Energy Metabolism,2013,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT04561284,clinical_trial,ClinicalTrials.gov,NCT04561284,https://clinicaltrials.gov/study/NCT04561284,,,Carbohydrate-induced Resilience of the Gut Microbiome After Antibiotics Use,2020,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT05353504,clinical_trial,ClinicalTrials.gov,NCT05353504,https://clinicaltrials.gov/study/NCT05353504,,,Impact of Microbiome-changing Interventions on Food Decision-making,2022,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT03727321,clinical_trial,ClinicalTrials.gov,NCT03727321,https://clinicaltrials.gov/study/NCT03727321,,,FMT and Fiber in Patients With Metabolic Syndrome,2018,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT01724736,clinical_trial,ClinicalTrials.gov,NCT01724736,https://clinicaltrials.gov/study/NCT01724736,,,A Pilot Study to Determine the Effect of a Cobiotic Formulation on the Gastrointestinal Microbiome,2012,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT03272542,clinical_trial,ClinicalTrials.gov,NCT03272542,https://clinicaltrials.gov/study/NCT03272542,,,PRebiotic to IMprovE Calcium Absorption,2017,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT04324749,clinical_trial,ClinicalTrials.gov,NCT04324749,https://clinicaltrials.gov/study/NCT04324749,,,Healthy Prebiotic and Postbiotic Effects of Peanuts and Peanut Butter: College Intervention Trial,2019,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT03135041,clinical_trial,ClinicalTrials.gov,NCT03135041,https://clinicaltrials.gov/study/NCT03135041,,,The Effect of Prebiotic Fibres on Weight Loss in an Overweight and Obese Population,2017,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT06722443,clinical_trial,ClinicalTrials.gov,NCT06722443,https://clinicaltrials.gov/study/NCT06722443,,,Impact of Nutritional Intervention With Probiotics and Prebiotics on Obesity.,2024,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT05207488,clinical_trial,ClinicalTrials.gov,NCT05207488,https://clinicaltrials.gov/study/NCT05207488,,,"Gastrointestinal And Metabolic Effects From a Prebiotic, Lifting, and Aerobic iNtervention",2021,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT05826184,clinical_trial,ClinicalTrials.gov,NCT05826184,https://clinicaltrials.gov/study/NCT05826184,,,Time Restricted Eating With or Without a Fiber Supplement for Weight Management in Pediatric Cancer Survivors,2023,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT04498455,clinical_trial,ClinicalTrials.gov,NCT04498455,https://clinicaltrials.gov/study/NCT04498455,,,Study of a Prebiotic Supplement to Mitigate Excessive Weight Gain Among Physicians in Residency,2018,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT05140070,clinical_trial,ClinicalTrials.gov,NCT05140070,https://clinicaltrials.gov/study/NCT05140070,,,Fruit and Vegetable Products Enriched With Fibre From Potato Starch With Prebiotic Properties for Children and Youth,2021,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT07492485,clinical_trial,ClinicalTrials.gov,NCT07492485,https://clinicaltrials.gov/study/NCT07492485,,,Precision Nutrition Recommendations Generated by Metataxonomic Microbiome Testing Improve Food Group Choices and Intestinal Health Indicators in an Obese Population in Colombia,2023,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT05942586,clinical_trial,ClinicalTrials.gov,NCT05942586,https://clinicaltrials.gov/study/NCT05942586,,,The Symbiont-Restore Study,2023,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT07464691,clinical_trial,ClinicalTrials.gov,NCT07464691,https://clinicaltrials.gov/study/NCT07464691,,,Effect of Prebiotics in Saudi Adults With Type 2 Diabetes,2026,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT01433120,clinical_trial,ClinicalTrials.gov,NCT01433120,https://clinicaltrials.gov/study/NCT01433120,,,Targeting the Gut Microbiome to Investigate the Pathways of Progression From Obesity to Metabolic Diseases in an At-risk Population.,2011,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
