evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
NCT:NCT07600567,clinical_trial,ClinicalTrials.gov,NCT07600567,https://clinicaltrials.gov/study/NCT07600567,,,Algal Lutein Against Decline of Intellectual Nimbleness,2026,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT02637115,clinical_trial,ClinicalTrials.gov,NCT02637115,https://clinicaltrials.gov/study/NCT02637115,,,Evaluation of the Effects Associated With the Administration of Akkermansia Muciniphila on Parameters of Metabolic Syndrome,2015,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT05114018,clinical_trial,ClinicalTrials.gov,NCT05114018,https://clinicaltrials.gov/study/NCT05114018,,,Effect of Pasteurized Akkermansia Muciniphila on Insulin Resistance in Otherwise Healthy Subjects With Dysglycaemia,2020,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT03749291,clinical_trial,ClinicalTrials.gov,NCT03749291,https://clinicaltrials.gov/study/NCT03749291,,,Motivational Intervention on the Gut Microbiota of Obese Children,2019,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT05802121,clinical_trial,ClinicalTrials.gov,NCT05802121,https://clinicaltrials.gov/study/NCT05802121,,,Akkermansia Muciniphilia and Metabolic Side Effects of ADT,2025,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT07593170,clinical_trial,ClinicalTrials.gov,NCT07593170,https://clinicaltrials.gov/study/NCT07593170,,,AKK Study in Improving Obesity and Metabolic Status in Children and Adolescents,2026,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT05417360,clinical_trial,ClinicalTrials.gov,NCT05417360,https://clinicaltrials.gov/study/NCT05417360,,,Akkermansia and Weight Maintenance,2022,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT04042181,clinical_trial,ClinicalTrials.gov,NCT04042181,https://clinicaltrials.gov/study/NCT04042181,,,"The Effects of Supplementation of a Probiotic, B. Longum, on BMI and Anthropometric Outcomes in Overweight/Obese Adults.",2018,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT06313580,clinical_trial,ClinicalTrials.gov,NCT06313580,https://clinicaltrials.gov/study/NCT06313580,,,Spices for Cultivating a Healthy Gut Microbiome and Cardiometabolic Profile,2023,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT03100162,clinical_trial,ClinicalTrials.gov,NCT03100162,https://clinicaltrials.gov/study/NCT03100162,,,Effect of Oral Supplementation With Probiotics,2016,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT05374980,clinical_trial,ClinicalTrials.gov,NCT05374980,https://clinicaltrials.gov/study/NCT05374980,,,The Effects of Yogurt on Gut Microbiome and Metabolism in H. Pylori.,2022,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT03843736,clinical_trial,ClinicalTrials.gov,NCT03843736,https://clinicaltrials.gov/study/NCT03843736,,,The Role of Dysbiosis of Gut Microbiota in the Pathogenesis of PCOS.,2019,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT03902301,clinical_trial,ClinicalTrials.gov,NCT03902301,https://clinicaltrials.gov/study/NCT03902301,,,Lactobacillus Rhamnosus and PCOS Treatment,2018,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT03201068,clinical_trial,ClinicalTrials.gov,NCT03201068,https://clinicaltrials.gov/study/NCT03201068,,,"Probiotic Supplement and Microbiome, Immune System and Metabolic Syndrome",2017,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT03548480,clinical_trial,ClinicalTrials.gov,NCT03548480,https://clinicaltrials.gov/study/NCT03548480,,,Targeting the Gut Microbiome for Prader-Willi Syndrome Treatment,2018,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT03418857,clinical_trial,ClinicalTrials.gov,NCT03418857,https://clinicaltrials.gov/study/NCT03418857,,,Probiotics and Gut Health,2018,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT06794723,clinical_trial,ClinicalTrials.gov,NCT06794723,https://clinicaltrials.gov/study/NCT06794723,,,A Probiotic Based Intervention in Pregnancies Complicated by GDM,2025,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT04677738,clinical_trial,ClinicalTrials.gov,NCT04677738,https://clinicaltrials.gov/study/NCT04677738,,,Investigation of the Effects of a Bifidobacterium Breve Strain on Fat Loss in Healthy Adults,2020,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT04593459,clinical_trial,ClinicalTrials.gov,NCT04593459,https://clinicaltrials.gov/study/NCT04593459,,,Probiotic Intervention in PCOS,2020,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT07306988,clinical_trial,ClinicalTrials.gov,NCT07306988,https://clinicaltrials.gov/study/NCT07306988,,,Eradication of Helicobacter Pylori Improves Metabolic Syndrome Through Modulation of Gut Microbiota.,2025,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT06452199,clinical_trial,ClinicalTrials.gov,NCT06452199,https://clinicaltrials.gov/study/NCT06452199,,,"The BEGIN Study Bifidobacterium Infantis to Newborns: Effects of Modulating the Gut Microbial Composition on Growth, Immune Function and Inflammatory Conditions - a Randomized Placebo-controlled Double-blinded Intervention Trial",2024,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT06722443,clinical_trial,ClinicalTrials.gov,NCT06722443,https://clinicaltrials.gov/study/NCT06722443,,,Impact of Nutritional Intervention With Probiotics and Prebiotics on Obesity.,2024,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT07606872,clinical_trial,ClinicalTrials.gov,NCT07606872,https://clinicaltrials.gov/study/NCT07606872,,,Validation of the Snouda Metabolic Score for Phenotyping and Guiding Reversal in Type 2 Diabetes,2026,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT05162209,clinical_trial,ClinicalTrials.gov,NCT05162209,https://clinicaltrials.gov/study/NCT05162209,,,PROBESITY-2: Synbiotics in Pediatric Obesity,2019,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT06959043,clinical_trial,ClinicalTrials.gov,NCT06959043,https://clinicaltrials.gov/study/NCT06959043,,,Therapeutic Strategies for Type 2 Diabetes Based on Lifestyle Changes: Plant-based Diet and Physical Exercise,2022,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT01922830,clinical_trial,ClinicalTrials.gov,NCT01922830,https://clinicaltrials.gov/study/NCT01922830,,,Probiotics and Microbiota in Bariatric Surgery,2013,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT02127125,clinical_trial,ClinicalTrials.gov,NCT02127125,https://clinicaltrials.gov/study/NCT02127125,,,Mechanism of Microbiome-induced Insulin Resistance in Humans (Aim2),2014,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT05459909,clinical_trial,ClinicalTrials.gov,NCT05459909,https://clinicaltrials.gov/study/NCT05459909,,,The Effect of Synbiotic and Diet Modification Among Overweight or Obese Hong Kong Chinese,2020,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT03123510,clinical_trial,ClinicalTrials.gov,NCT03123510,https://clinicaltrials.gov/study/NCT03123510,,,Effect of a Synbiotic Supplement on a High-protein Diet,2017,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT04097106,clinical_trial,ClinicalTrials.gov,NCT04097106,https://clinicaltrials.gov/study/NCT04097106,,,Synbiotic Dietary Supplement and Gut Microbiota,2020,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT07386795,clinical_trial,ClinicalTrials.gov,NCT07386795,https://clinicaltrials.gov/study/NCT07386795,,,The Efficacy and Safety of Microbiota Transplantation Combined With Prebiotics for Treatment of Functional Constipation,2026,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT07515443,clinical_trial,ClinicalTrials.gov,NCT07515443,https://clinicaltrials.gov/study/NCT07515443,,,The Effects of a Commercially Available Synbiotic on the Gut Microbiome and Cardiometabolic Health: A Randomized Double-Blind Placebo-Controlled Trial,2025,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT05942586,clinical_trial,ClinicalTrials.gov,NCT05942586,https://clinicaltrials.gov/study/NCT05942586,,,The Symbiont-Restore Study,2023,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT06823557,clinical_trial,ClinicalTrials.gov,NCT06823557,https://clinicaltrials.gov/study/NCT06823557,,,Investigation of the Mechanisms of the Gut-brain Axis in Binge Eating and Obesity.,2025,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT05832190,clinical_trial,ClinicalTrials.gov,NCT05832190,https://clinicaltrials.gov/study/NCT05832190,,,Correcting GUT MicrobioTa by Combined Supplementation of FibERs and BIotiN to Improve Microbiome and Optimize Bariatric Surgery Outcomes,2023,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT07565675,clinical_trial,ClinicalTrials.gov,NCT07565675,https://clinicaltrials.gov/study/NCT07565675,,,The BALANCE Study - Improving Glucose Control Through Prebiotic Gut Health Drink in Postmenopausal Women,2026,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT04520724,clinical_trial,ClinicalTrials.gov,NCT04520724,https://clinicaltrials.gov/study/NCT04520724,,,Functional Roll for Non-alcoholic Fatty Liver Disease,2018,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT07559227,clinical_trial,ClinicalTrials.gov,NCT07559227,https://clinicaltrials.gov/study/NCT07559227,,,"Gut, Immune, and Vascular Health in Metabolically Healthy Obesity",2026,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT07354386,clinical_trial,ClinicalTrials.gov,NCT07354386,https://clinicaltrials.gov/study/NCT07354386,,,Effects of Dried Whole Fruits on Metabolism in Diabetes,2026,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT05908474,clinical_trial,ClinicalTrials.gov,NCT05908474,https://clinicaltrials.gov/study/NCT05908474,,,"The Effects of io Fibrewater Supplementation on Gut Health, Immunity and Metabolism in Overweight Adults",2023,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT01983046,clinical_trial,ClinicalTrials.gov,NCT01983046,https://clinicaltrials.gov/study/NCT01983046,,,Rectal Short Chain Fatty Acids Combinations and Substrate and Energy Metabolism,2013,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT04561284,clinical_trial,ClinicalTrials.gov,NCT04561284,https://clinicaltrials.gov/study/NCT04561284,,,Carbohydrate-induced Resilience of the Gut Microbiome After Antibiotics Use,2020,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT05353504,clinical_trial,ClinicalTrials.gov,NCT05353504,https://clinicaltrials.gov/study/NCT05353504,,,Impact of Microbiome-changing Interventions on Food Decision-making,2022,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT03727321,clinical_trial,ClinicalTrials.gov,NCT03727321,https://clinicaltrials.gov/study/NCT03727321,,,FMT and Fiber in Patients With Metabolic Syndrome,2018,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT01724736,clinical_trial,ClinicalTrials.gov,NCT01724736,https://clinicaltrials.gov/study/NCT01724736,,,A Pilot Study to Determine the Effect of a Cobiotic Formulation on the Gastrointestinal Microbiome,2012,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT03272542,clinical_trial,ClinicalTrials.gov,NCT03272542,https://clinicaltrials.gov/study/NCT03272542,,,PRebiotic to IMprovE Calcium Absorption,2017,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT04324749,clinical_trial,ClinicalTrials.gov,NCT04324749,https://clinicaltrials.gov/study/NCT04324749,,,Healthy Prebiotic and Postbiotic Effects of Peanuts and Peanut Butter: College Intervention Trial,2019,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
