strain_id,formulation_id,genus,species,strain_name,evidence_pmid,evidence_unit,inherited_from_combination,confirmed_outcome_score,functional_modules,suggested_prebiotic,safety_gate,notes
LF_K7,FORM_LF_K7_K8_K11,Lactobacillus,fermentum,Lactobacillus fermentum K7,37447365,fixed_3_strain_formulation,yes,2.17,BMI; SCFA_network; body_fat; carbohydrate_utilization; waist; weight,acacia gum optional; probiotic arm strongest without synbiotic advantage,literature_use_only_pending_genome_safety,"Members can be recombined, but the strongest clinical signal belongs to the tested K7/K8/K11 formulation."
LF_K8,FORM_LF_K7_K8_K11,Lactobacillus,fermentum,Lactobacillus fermentum K8,37447365,fixed_3_strain_formulation,yes,2.17,BMI; SCFA_network; body_fat; carbohydrate_utilization; waist; weight,acacia gum optional; probiotic arm strongest without synbiotic advantage,literature_use_only_pending_genome_safety,"Members can be recombined, but the strongest clinical signal belongs to the tested K7/K8/K11 formulation."
LF_K11,FORM_LF_K7_K8_K11,Lactobacillus,fermentum,Lactobacillus fermentum K11,37447365,fixed_3_strain_formulation,yes,2.17,BMI; SCFA_network; body_fat; carbohydrate_utilization; waist; weight,acacia gum optional; probiotic arm strongest without synbiotic advantage,literature_use_only_pending_genome_safety,"Members can be recombined, but the strongest clinical signal belongs to the tested K7/K8/K11 formulation."
BL_IDCC4301,FORM_IDCC4301,Bifidobacterium,animalis subsp. lactis,Bifidobacterium lactis IDCC 4301,39051504,single_strain,no,5.12,SCFA_network; bifidobacterium_niche; body_fat; lipid,inulin/FOS optional,literature_use_only_pending_genome_safety,Single-strain clinical evidence; BMI between-group change was not significant.
BL_BB536,FORM_BB536_MCC1274,Bifidobacterium,longum,Bifidobacterium longum BB536,38542727,fixed_2_strain_formulation,yes,1.47,barrier; bifidobacterium_niche; lipid; visceral_fat,inulin/FOS optional,literature_use_only_pending_genome_safety,Members can be recombined; full clinical support applies only when BB536 and MCC1274 are retained together.
BB_MCC1274,FORM_BB536_MCC1274,Bifidobacterium,breve,Bifidobacterium breve MCC1274,38542727,fixed_2_strain_formulation,yes,1.47,barrier; bifidobacterium_niche; lipid; visceral_fat,inulin/FOS optional,literature_use_only_pending_genome_safety,Members can be recombined; full clinical support applies only when BB536 and MCC1274 are retained together.
BL_B420,FORM_B420_LU,Bifidobacterium,animalis subsp. lactis,Bifidobacterium animalis subsp. lactis B420,27810310,single_strain_with_required_fiber_context,no,3.20,SCFA_network; barrier; body_fat; fiber_response; waist,polydextrose/Litesse Ultra,literature_use_only_pending_genome_safety,PP signal; ITT body-fat difference not significant. Treat fiber context as required for strongest evidence.
BB_BBr60,FORM_BBR60,Bifidobacterium,breve,Bifidobacterium breve BBr60,39456659,single_strain,no,3.88,amino_acid_metabolism; bifidobacterium_niche; glucose; weight,inulin/FOS optional,literature_use_only_pending_genome_safety,Weight signal; BMI between-group change not significant.
LP_BEPC22,FORM_BN202M,Lacticaseibacillus,paracasei,Lacticaseibacillus paracasei BEPC22,38999741,fixed_2_strain_formulation,yes,1.19,body_fat; carbohydrate_utilization; cross_feeding; lipid_metabolism,FOS/GOS optional,literature_use_only_pending_genome_safety,Members can be recombined; full clinical support applies only when BEPC22 and BELP53 are retained together.
LPL_BELP53,FORM_BN202M,Lactiplantibacillus,plantarum,Lactiplantibacillus plantarum BELP53,38999741,fixed_2_strain_formulation,yes,1.19,body_fat; carbohydrate_utilization; cross_feeding; lipid_metabolism,FOS/GOS optional,literature_use_only_pending_genome_safety,Members can be recombined; full clinical support applies only when BEPC22 and BELP53 are retained together.
BC_BC99,FORM_BC99,Bacillus,coagulans,Bacillus coagulans BC99,40416368,single_strain_subgroup,no,1.50,microbiome_shift; spore_former; weight_subgroup,none specified,literature_use_only_pending_genome_safety,Use only as exploratory/subgroup candidate; lipid endpoint not significant.
