combination_id,strains,target_population,source_strain_ids,evidence_summary,evidence_doi_list,evidence_pmid_list,safety_gate,functional_modules,complementarity_score,microbiome_matching_score,predicted_response_score,literature_evidence_score,validation_priority,recommended_prebiotic,notes
CMB3TO5_001,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium longum BB536,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; LF_K11; BL_BB536,4-strain evidence-derived combination; PMIDs 37447365; 38542727,,37447365; 38542727,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,10.0,9.83,9.83,8.63,9.21,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_002,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium breve MCC1274,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; LF_K11; BB_MCC1274,4-strain evidence-derived combination; PMIDs 37447365; 38542727,,37447365; 38542727,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,10.0,9.83,9.83,8.63,9.2,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_003,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Bifidobacterium longum BB536,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; BL_BB536,3-strain evidence-derived combination; PMIDs 37447365; 38542727,,37447365; 38542727,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,10.0,9.77,9.77,8.17,9.05,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_004,Lactobacillus fermentum K7; Lactobacillus fermentum K11; Bifidobacterium longum BB536,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K11; BL_BB536,3-strain evidence-derived combination; PMIDs 37447365; 38542727,,37447365; 38542727,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,10.0,9.77,9.77,8.17,9.05,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_005,Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium longum BB536,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K8; LF_K11; BL_BB536,3-strain evidence-derived combination; PMIDs 37447365; 38542727,,37447365; 38542727,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,10.0,9.77,9.77,8.17,9.05,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_006,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Bifidobacterium breve MCC1274,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; BB_MCC1274,3-strain evidence-derived combination; PMIDs 37447365; 38542727,,37447365; 38542727,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,10.0,9.77,9.77,8.17,9.03,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_007,Lactobacillus fermentum K7; Lactobacillus fermentum K11; Bifidobacterium breve MCC1274,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K11; BB_MCC1274,3-strain evidence-derived combination; PMIDs 37447365; 38542727,,37447365; 38542727,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,10.0,9.77,9.77,8.17,9.03,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_008,Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium breve MCC1274,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K8; LF_K11; BB_MCC1274,3-strain evidence-derived combination; PMIDs 37447365; 38542727,,37447365; 38542727,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,10.0,9.77,9.77,8.17,9.03,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_009,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium breve BBr60,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; LF_K11; BB_BBr60,4-strain evidence-derived combination; PMIDs 37447365; 39456659,,37447365; 39456659,pass_literature_use_pending_genome_safety,BMI; SCFA_network; amino_acid_metabolism; bifidobacterium_niche; body_fat; carbohydrate_utilization; glucose; waist; weight,9.0,9.67,9.67,8.47,8.81,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_010,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301; Bifidobacterium longum BB536,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; LF_K11; BL_IDCC4301; BL_BB536,5-strain evidence-derived combination; PMIDs 37447365; 38542727; 39051504,,37447365; 38542727; 39051504,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,10.0,9.13,9.13,7.93,8.79,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
