evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
EUROPEPMC:42197000,literature,PubMed,42197000,https://europepmc.org/article/MED/42197000,10.3390/nu18101540,42197000,Gut Microbiome Dysbiosis in Metabolic Syndrome: Current Evidence and Emerging Perspectives.,2026,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41507594,literature,PubMed,41507594,https://europepmc.org/article/MED/41507594,10.1007/s00198-025-07801-w,41507594,"Impact of probiotic, prebiotic, and synbiotic supplementation on the gut microbiome in older adults with sarcopenia, obesity, and sarcopenic obesity.",2026,Osteoporos Int,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41721244,literature,PubMed,41721244,https://europepmc.org/article/MED/41721244,10.1186/s12866-026-04840-z,41721244,Modulation of gut-heart axis by synbiotic (Lactiplantibacillus plantarum M10 and Isomaltose) in high cholesterol diet induced atherosclerotic murine model.,2026,BMC Microbiol,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41444876,literature,PubMed,41444876,https://europepmc.org/article/MED/41444876,10.1186/s12887-025-06319-8,41444876,The role of microbiome-modulating supplements in managing metabolic syndrome risk factors among overweight and obese youth: a GRADE-assessed meta-analysis.,2025,BMC Pediatr,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41133047,literature,PubMed,41133047,https://europepmc.org/article/MED/41133047,10.7759/cureus.92881,41133047,Efficacy of Gut Microbiome-Targeted Therapies in Modulating Systemic Inflammation and Low-Grade Chronic Inflammatory States in Adults With Metabolic Disorders: A Systematic Review.,2025,Cureus,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41814326,literature,PubMed,41814326,https://europepmc.org/article/MED/41814326,10.1186/s12986-026-01101-8,41814326,Effects of synbiotic supplementation on metabolic profiles in children with obesity: a randomized double-blinded placebo-controlled trial.,2026,Nutr Metab (Lond),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41746476,literature,PubMed,41746476,https://europepmc.org/article/MED/41746476,10.1007/s13668-026-00732-w,41746476,"The Gut-Brain Axis in Obesity: Mechanisms, Development, and Therapeutic Perspectives.",2026,Curr Nutr Rep,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41901543,literature,PubMed,41901543,https://europepmc.org/article/MED/41901543,10.3390/medicina62030458,41901543,"Nutritional Status in Obesity: A Comprehensive Narrative Review of Dysbiosis, Micronutrient Deficiencies and the Effects of Probiotics/Synbiotics.",2026,Medicina (Kaunas),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41010468,literature,PubMed,41010468,https://europepmc.org/article/MED/41010468,10.3390/nu17182942,41010468,Targeting the Gut Microbiota in Pediatric Obesity: A Paradigm Shift in Prevention and Treatment? A Comprehensive Review.,2025,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41774188,literature,PubMed,41774188,https://europepmc.org/article/MED/41774188,10.1007/s00018-025-06022-y,41774188,"Microbes, mood, and metabolism/obesity: Pharmacological insights into the gut-obesity-depression triad.",2026,Cell Mol Life Sci,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:42039766,literature,PubMed,42039766,https://europepmc.org/article/MED/42039766,10.1002/fsn3.71801,42039766,The Role of Gut Microbiome in Obesity and Weight Management: A Review of Current Evidence and Future Directions.,2026,Food Sci Nutr,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41883787,literature,PubMed,41883787,https://europepmc.org/article/MED/41883787,10.3389/fmicb.2026.1782361,41883787,Maternal probiotic and prebiotic supplementation on glucose metabolism in pregnant women and their offspring: effects and related mechanisms.,2026,Front Microbiol,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41612500,literature,PubMed,41612500,https://europepmc.org/article/MED/41612500,10.1186/s40001-026-03901-3,41612500,Multi-strain synbiotic and lifestyle modifications on patients with metabolic dysfunction-associated steatotic liver disease (MASLD): a randomized double-blinded placebo-controlled trial.,2026,Eur J Med Res,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41978103,literature,PubMed,41978103,https://europepmc.org/article/MED/41978103,10.3390/nu18071052,41978103,"Diet, the Gut Microbiome, and Estrogen Physiology: A Review in Menopausal Health and Interventions.",2026,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41769660,literature,PubMed,41769660,https://europepmc.org/article/MED/41769660,10.3389/fnut.2026.1729480,41769660,Retrospective insights into probiotic and prebiotic interventions: associations with gut microbiota profiles and nutritional outcomes.,2026,Front Nutr,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41007736,literature,PubMed,41007736,https://europepmc.org/article/MED/41007736,10.3390/biomedicines13092173,41007736,The Gut Microbiome in Human Obesity: A Comprehensive Review.,2025,Biomedicines,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:42131482,literature,PubMed,42131482,https://europepmc.org/article/MED/42131482,10.3389/fphys.2026.1766078,42131482,Bioactive compounds as therapeutic modulators of metabolic syndrome: targeting inflammation and gut microbiota regulation.,2026,Front Physiol,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41295220,literature,PubMed,41295220,https://europepmc.org/article/MED/41295220,10.3390/jpm15110518,41295220,Impact of Reducing Obesity in PCOS: Methods and Treatment Outcomes.,2025,J Pers Med,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41063745,literature,PubMed,41063745,https://europepmc.org/article/MED/41063745,10.1002/fsn3.71061,41063745,Synergistic Effects of Bioactive Compounds on Human Adiposity Mechanisms of Fat Loss and Fat Accumulation.,2025,Food Sci Nutr,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41868826,literature,PubMed,41868826,https://europepmc.org/article/MED/41868826,10.1177/15598276261436778,41868826,Lifestyle and Complementary Approaches to Polycystic Ovary Syndrome During Perimenopause and Menopause A Scoping Review.,2026,Am J Lifestyle Med,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:40507152,literature,PubMed,40507152,https://europepmc.org/article/MED/40507152,10.3390/nu17111883,40507152,The Role of Gut Microbiota in Pediatric Obesity and Metabolic Disorders: Insights from a Comprehensive Review.,2025,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41366011,literature,PubMed,41366011,https://europepmc.org/article/MED/41366011,10.1038/s41598-025-29579-x,41366011,"Innovative formulation of microencapsulated ""spirubiotic sachets"" as a synbiotic treatment for metabolic syndrome patients.",2025,Sci Rep,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41228562,literature,PubMed,41228562,https://europepmc.org/article/MED/41228562,10.3390/nu17213491,41228562,"Dietary Interventions in Metabolic Dysfunction-Associated Steatotic Liver Disease: A Narrative Review of Evidence, Mechanisms, and Translational Challenges.",2025,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41745391,literature,PubMed,41745391,https://europepmc.org/article/MED/41745391,10.3390/jpm16020099,41745391,Probiotics as Microbiome Modulators in Male Infertility: Rethinking Dysbiosis Across the Gut-Testis Axis.,2026,J Pers Med,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:42130740,literature,PubMed,42130740,https://europepmc.org/article/MED/42130740,10.3389/fendo.2026.1774824,42130740,Roles of gut metabolites on bone mineralization and remodeling: impact of metabolic dysregulation on the gut-immune-bone axis.,2026,Front Endocrinol (Lausanne),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:40870819,literature,PubMed,40870819,https://europepmc.org/article/MED/40870819,10.3390/foods14162907,40870819,"Honey-Conjugated Honeybee Brood Biopeptides Improve Gastrointestinal Stability, Antioxidant Capacity, and Alleviate Diet-Induced Metabolic Syndrome in a Rat Model.",2025,Foods,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:40993787,literature,PubMed,40993787,https://europepmc.org/article/MED/40993787,10.1186/s12967-025-07064-3,40993787,"Synbiotics in Alzheimer's disease: mechanisms, clinical evidence, and therapeutic prospects.",2025,J Transl Med,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:42015346,literature,PubMed,42015346,https://europepmc.org/article/MED/42015346,10.1080/19490976.2026.2644677,42015346,Gut microbiome and metabolic health: mechanisms and precision interventions.,2026,Gut Microbes,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:40815418,literature,PubMed,40815418,https://europepmc.org/article/MED/40815418,10.1007/s00198-025-07650-7,40815418,"A randomized, double-blind, placebo-controlled clinical study to evaluate the efficacy of the synbiotic medical food, SBD111, for the clinical dietary management of bone loss in menopausal women.",2025,Osteoporos Int,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:40647296,literature,PubMed,40647296,https://europepmc.org/article/MED/40647296,10.3390/nu17132193,40647296,Impact of Probiotic/Synbiotic Supplementation on Post-Bariatric Surgery Anthropometric and Cardiometabolic Outcomes: An Updated Systematic Review and Meta-Analysis of Randomized Controlled Trials.,2025,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41516407,literature,PubMed,41516407,https://europepmc.org/article/MED/41516407,10.3390/ijms27010535,41516407,Inflammation and Resolution in Obesity-Related Cardiovascular Disease.,2026,Int J Mol Sci,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:40650060,literature,PubMed,40650060,https://europepmc.org/article/MED/40650060,10.3390/ijms26136282,40650060,Using Gut Microbiota Modulation as a Precision Strategy Against Obesity.,2025,Int J Mol Sci,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:39857760,literature,PubMed,39857760,https://europepmc.org/article/MED/39857760,10.3390/biomedicines13010177,39857760,"The Effect of Prebiotics, Alone or as Part of Synbiotics, on Cardiometabolic Parameters in Women with Polycystic Ovary Syndrome: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.",2025,Biomedicines,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41515205,literature,PubMed,41515205,https://europepmc.org/article/MED/41515205,10.3390/nu18010089,41515205,Modulating the Gut Microbiome in Type 2 Diabetes: Nutritional and Therapeutic Strategies.,2025,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41103651,literature,PubMed,41103651,https://europepmc.org/article/MED/41103651,10.3389/fendo.2025.1669716,41103651,"Insulin resistance, metabolic syndrome and polycystic ovaries: an intriguing conundrum.",2025,Front Endocrinol (Lausanne),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:38572479,literature,PubMed,38572479,https://europepmc.org/article/MED/38572479,10.3389/fendo.2024.1277921,38572479,"The effects of prebiotic, probiotic or synbiotic supplementation on overweight/obesity indicators: an umbrella review of the trials' meta-analyses.",2024,Front Endocrinol (Lausanne),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41727680,literature,PubMed,41727680,https://europepmc.org/article/MED/41727680,10.3389/fendo.2026.1734041,41727680,BMI-stratified phenotypes of polycystic ovary syndrome: advances in gut microbiota research and personalized management strategies.,2026,Front Endocrinol (Lausanne),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:40725626,literature,PubMed,40725626,https://europepmc.org/article/MED/40725626,10.3390/jcm14144933,40725626,The Role of Gut Microbiota in the Development and Treatment of Obesity and Overweight: A Literature Review.,2025,J Clin Med,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:40137132,literature,PubMed,40137132,https://europepmc.org/article/MED/40137132,10.3390/metabo15030167,40137132,The Functions of Major Gut Microbiota in Obesity and Type 2 Diabetes.,2025,Metabolites,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:39997751,literature,PubMed,39997751,https://europepmc.org/article/MED/39997751,10.3390/metabo15020127,39997751,Therapeutic Strategies to Modulate Gut Microbial Health: Approaches for Chronic Metabolic Disorder Management.,2025,Metabolites,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:PMC13093847,literature,publisher supplementary data,PMC13093847,,,,"Obesity and Natural Products: Mechanisms, Therapeutic Potential, and Future Directions",2026,Food Sci Nutr,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:40832705,literature,PubMed,40832705,https://europepmc.org/article/MED/40832705,10.1002/oby.24340,40832705,"Evolution of multidisciplinary obesity treatments: past, present, and future role of nutrition.",2025,Obesity (Silver Spring),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
