evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
EUROPEPMC:42120725,literature,PubMed,42120725,https://europepmc.org/article/MED/42120725,10.1038/s41591-026-04394-7,42120725,Pasteurized Akkermansia muciniphila Muc<sup>T</sup> for weight loss maintenance in people with overweight and obesity: a controlled randomized trial.,2026,Nat Med,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,codex,2026-05-29
EUROPEPMC:41568048,literature,PubMed,41568048,https://europepmc.org/article/MED/41568048,10.3389/fmicb.2025.1627870,41568048,Probiotic attributes and safety profile of AKM Lab-01: a novel <i>Akkermansia muciniphila</i> strain combating obesity and metabolic disorders in diet-induced obese mice.,2025,Front Microbiol,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,codex,2026-05-29
EUROPEPMC:42039766,literature,PubMed,42039766,https://europepmc.org/article/MED/42039766,10.1002/fsn3.71801,42039766,The Role of Gut Microbiome in Obesity and Weight Management: A Review of Current Evidence and Future Directions.,2026,Food Sci Nutr,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,codex,2026-05-29
EUROPEPMC:41746476,literature,PubMed,41746476,https://europepmc.org/article/MED/41746476,10.1007/s13668-026-00732-w,41746476,"The Gut-Brain Axis in Obesity: Mechanisms, Development, and Therapeutic Perspectives.",2026,Curr Nutr Rep,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,codex,2026-05-29
EUROPEPMC:41137026,literature,PubMed,41137026,https://europepmc.org/article/MED/41137026,10.1186/s12967-025-07149-z,41137026,Akkermansia muciniphila: a microbial guardian against oxidative stress-gut microbiota crosstalk and clinical prospects.,2025,J Transl Med,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,codex,2026-05-29
EUROPEPMC:41576942,literature,PubMed,41576942,https://europepmc.org/article/MED/41576942,10.1016/j.xcrm.2025.102573,41576942,"Gut microbiome and obesity care: Bridging dietary, surgical, and pharmacological interventions.",2026,Cell Rep Med,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,codex,2026-05-29
EUROPEPMC:41030554,literature,PubMed,41030554,https://europepmc.org/article/MED/41030554,10.3389/fmicb.2025.1665101,41030554,<i>Akkermansia muciniphila</i> and osteoporosis: emerging role of gut microbiota in skeletal homeostasis.,2025,Front Microbiol,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,codex,2026-05-29
EUROPEPMC:42072347,literature,PubMed,42072347,https://europepmc.org/article/MED/42072347,10.3390/biomedicines14040806,42072347,"The Interplay Between GLP-1-Based Therapies, the Gut Microbiome, and MASLD/MASH in Type 2 Diabetes Mellitus: A Narrative Review.",2026,Biomedicines,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,codex,2026-05-29
EUROPEPMC:PMC13203418,literature,publisher supplementary data,PMC13203418,,,,Oxidative Stress–Gut Microbiome Crosstalk: Intestinal Redox Imbalance and Probiotics Therapeutic Potential,2026,Antioxidants (Basel),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,codex,2026-05-29
EUROPEPMC:41007736,literature,PubMed,41007736,https://europepmc.org/article/MED/41007736,10.3390/biomedicines13092173,41007736,The Gut Microbiome in Human Obesity: A Comprehensive Review.,2025,Biomedicines,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,codex,2026-05-29
