strain_id,genus,species,strain_name,evidence_pmid,confirmed_outcome_score,functional_modules,probiotic_use_history_score,validation_feasibility_score,suggested_prebiotic,safety_gate,notes,microbiome_signature_species,microbiome_shap_importance,microbiome_role,microbiome_priority,microbiome_rationale
BL_BB536,Bifidobacterium,longum,Bifidobacterium longum BB536,38542727,4.51,barrier; bifidobacterium_niche; lipid; visceral_fat,0.95,0.9,inulin/FOS,pass_literature_use_pending_genome_safety,Evidence-derived candidate from confirmed outcome RCT; genome AMR/virulence screen still required before wet-lab product development.,Bifidobacterium_longum,0.1703,depleted_in_obesity_protective,0.1703,restore depleted protective commensal
BL_IDCC4301,Bifidobacterium,animalis subsp. lactis,Bifidobacterium lactis IDCC 4301,39051504,5.12,SCFA_network; bifidobacterium_niche; body_fat; lipid,0.85,0.8,inulin/FOS,pass_literature_use_pending_genome_safety,Evidence-derived candidate from confirmed outcome RCT; genome AMR/virulence screen still required before wet-lab product development.,Bifidobacterium_animalis,0.0035,depleted_in_obesity_protective,0.0035,restore depleted protective commensal
BL_B420,Bifidobacterium,animalis subsp. lactis,Bifidobacterium animalis subsp. lactis B420,27810310,4.41,SCFA_network; barrier; body_fat; fiber_response; waist,0.9,0.9,polydextrose,pass_literature_use_pending_genome_safety,Evidence-derived candidate from confirmed outcome RCT; genome AMR/virulence screen still required before wet-lab product development.,Bifidobacterium_animalis,0.0035,depleted_in_obesity_protective,0.0035,restore depleted protective commensal
LF_K7,Lactobacillus,fermentum,Lactobacillus fermentum K7,37447365,10.0,BMI; SCFA_network; body_fat; carbohydrate_utilization; waist; weight,0.75,0.8,acacia gum,pass_literature_use_pending_genome_safety,Evidence-derived candidate from confirmed outcome RCT; genome AMR/virulence screen still required before wet-lab product development.,,,not_in_gut_signature,0.0,low-prevalence/exogenous taxon; no population signal
LF_K8,Lactobacillus,fermentum,Lactobacillus fermentum K8,37447365,10.0,BMI; SCFA_network; body_fat; carbohydrate_utilization; waist; weight,0.75,0.8,acacia gum,pass_literature_use_pending_genome_safety,Evidence-derived candidate from confirmed outcome RCT; genome AMR/virulence screen still required before wet-lab product development.,,,not_in_gut_signature,0.0,low-prevalence/exogenous taxon; no population signal
LF_K11,Lactobacillus,fermentum,Lactobacillus fermentum K11,37447365,10.0,BMI; SCFA_network; body_fat; carbohydrate_utilization; waist; weight,0.75,0.8,acacia gum,pass_literature_use_pending_genome_safety,Evidence-derived candidate from confirmed outcome RCT; genome AMR/virulence screen still required before wet-lab product development.,,,not_in_gut_signature,0.0,low-prevalence/exogenous taxon; no population signal
BB_MCC1274,Bifidobacterium,breve,Bifidobacterium breve MCC1274,38542727,4.51,barrier; bifidobacterium_niche; lipid; visceral_fat,0.85,0.85,inulin/FOS,pass_literature_use_pending_genome_safety,Evidence-derived candidate from confirmed outcome RCT; genome AMR/virulence screen still required before wet-lab product development.,,,not_in_gut_signature,0.0,low-prevalence/exogenous taxon; no population signal
BB_BBr60,Bifidobacterium,breve,Bifidobacterium breve BBr60,39456659,3.88,amino_acid_metabolism; bifidobacterium_niche; glucose; weight,0.7,0.75,inulin/FOS,pass_literature_use_pending_genome_safety,Evidence-derived candidate from confirmed outcome RCT; genome AMR/virulence screen still required before wet-lab product development.,,,not_in_gut_signature,0.0,low-prevalence/exogenous taxon; no population signal
LP_BEPC22,Lacticaseibacillus,paracasei,Lacticaseibacillus paracasei BEPC22,38999741,3.65,body_fat; cross_feeding; lipid_metabolism,0.65,0.75,FOS/GOS,pass_literature_use_pending_genome_safety,Evidence-derived candidate from confirmed outcome RCT; genome AMR/virulence screen still required before wet-lab product development.,,,not_in_gut_signature,0.0,low-prevalence/exogenous taxon; no population signal
LPL_BELP53,Lactiplantibacillus,plantarum,Lactiplantibacillus plantarum BELP53,38999741,3.65,body_fat; carbohydrate_utilization; cross_feeding; lipid_metabolism,0.75,0.8,FOS/GOS,pass_literature_use_pending_genome_safety,Evidence-derived candidate from confirmed outcome RCT; genome AMR/virulence screen still required before wet-lab product development.,,,not_in_gut_signature,0.0,low-prevalence/exogenous taxon; no population signal
