species,genus,category,source,obesity_signal,shap_importance,safety_tier,clinical_evidence,priority_tier,genome_accession,assembly_level,resolved_organism,safety_risk_class,safety_flags,recommended_action,needs_genome_confirmation,bsh_potential,butyrate_scfa_potential,propionate_potential,mucin_interaction,lactate_acetate,metabolic_guild,adverse_mechanism_flag,obesity_mechanism,functional_provenance,t,prot
Bifidobacterium_longum,Bifidobacterium,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.1703,qps_gras_lower_barrier,yes,A_clinical_evidence,GCF_000196555.1,Complete Genome,Bifidobacterium longum subsp. longum JCM 1217,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,1,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),0,1
Bifidobacterium_animalis,Bifidobacterium,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0035,qps_gras_lower_barrier,yes,A_clinical_evidence,GCF_000022965.1,Complete Genome,Bifidobacterium animalis subsp. lactis DSM 10140,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,1,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),0,1
Lacticaseibacillus_paracasei,Lacticaseibacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,yes,A_clinical_evidence,GCF_000155515.2,Complete Genome,Lacticaseibacillus paracasei subsp. paracasei 8700:2,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),0,0
Lactiplantibacillus_plantarum,Lactiplantibacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,yes,A_clinical_evidence,GCF_009913655.1,Complete Genome,Lactiplantibacillus plantarum,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),0,0
Bifidobacterium_breve,Bifidobacterium,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,yes,A_clinical_evidence,GCF_001025175.1,Complete Genome,Bifidobacterium breve DSM 20213 = JCM 1192,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,1,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),0,0
Anaerostipes_hadrus,Anaerostipes,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0868,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_030864025.1,Complete Genome,Anaerostipes hadrus,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Phascolarctobacterium_faecium,Phascolarctobacterium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0694,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_003945365.1,Complete Genome,Phascolarctobacterium faecium,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Methanobrevibacter_smithii,Methanobrevibacter,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0645,requires_genome_safety_review,screening_only,B_protective_screening,GCF_000016525.1,Complete Genome,Methanobrevibacter smithii ATCC 35061,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,0,0,0,methanogen_h2_sink,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Intestinimonas_butyriciproducens,Intestinimonas,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0544,requires_genome_safety_review,screening_only,B_protective_screening,GCF_004154955.1,Complete Genome,Intestinimonas butyriciproducens,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Parabacteroides_goldsteinii,Parabacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0492,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_020091425.1,Complete Genome,Parabacteroides goldsteinii,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),1,1
