evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
PMID:42108208,literature,PubMed,42108208,https://pubmed.ncbi.nlm.nih.gov/42108208/,10.1093/nutrit/nuag048,42108208,Comparative Efficacy of Probiotics for the Treatment of Obesity: A Systematic Review and Network Meta-analysis.,2026,Nutrition reviews,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:42105359,literature,PubMed,42105359,https://pubmed.ncbi.nlm.nih.gov/42105359/,10.1093/nutrit/nuag049,42105359,Monounsaturated Fatty Acid-Rich Foods and Gut Microbiota Composition: A Systematic Review of In Vivo Studies and Randomized Clinical Trials.,2026,Nutrition reviews,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:41599863,literature,PubMed,41599863,https://pubmed.ncbi.nlm.nih.gov/41599863/,10.3390/nu18020250,41599863,"Efficacy and Safety of CKDB-322, a Combination of Lactiplantibacillus plantarum Q180 and Phaeodactylum tricornutum, for Reducing Body Fat and Abdominal Adiposity in Overweight Adults.",2026,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:41372103,literature,PubMed,41372103,https://pubmed.ncbi.nlm.nih.gov/41372103/,10.1111/obr.70037,41372103,Impacts of Lifestyle and Microbiota-Targeted Interventions for Overweight and Obesity on the Human Gut Microbiome: A Systematic Review.,2026,Obesity reviews : an official journal of the International Association for the Study of Obesity,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:40951500,literature,PubMed,40951500,https://pubmed.ncbi.nlm.nih.gov/40951500/,10.52225/narra.v5i2.1562,40951500,Probiotic Lactobacillus sp. as a strategy for modulation of non-comorbid obesity: A systematic meta-analysis and GRADE assessment of randomized controlled trials.,2025,Narra J,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:40813684,literature,PubMed,40813684,https://pubmed.ncbi.nlm.nih.gov/40813684/,10.1186/s13098-025-01869-4,40813684,Carotenoid and peptide supplementation from Caulerpa sp. (sea grapes) extract mitigate metabolic syndrome in cholesterol-enriched diet rats via modulation of gut microbiota.,2025,Diabetology & metabolic syndrome,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:40536121,literature,PubMed,40536121,https://pubmed.ncbi.nlm.nih.gov/40536121/,10.1111/dom.16535,40536121,"Interaction between dietary omega-3 polyunsaturated fatty acids, obesity and gut microbiota in preclinical models: A systematic review of randomized controlled trials.",2025,"Diabetes, obesity & metabolism",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:40451504,literature,PubMed,40451504,https://pubmed.ncbi.nlm.nih.gov/40451504/,10.1016/j.clnesp.2025.05.045,40451504,"Comparing the effects of yogurt containing Akkermansia muciniphilia postbiotic with yogurt containing Lactobacillus rhamnosus postbiotic on body composition, biochemical indices, appetite, and depression scores in overweight or obese adults: A randomized, double-blind, controlled clinical trial.",2025,Clinical nutrition ESPEN,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:40218949,literature,PubMed,40218949,https://pubmed.ncbi.nlm.nih.gov/40218949/,10.3390/nu17071191,40218949,"A 12-Week, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Lactobacillus plantarum LMT1-48 on Body Fat Loss.",2025,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:40066582,literature,PubMed,40066582,https://pubmed.ncbi.nlm.nih.gov/40066582/,10.20960/nh.05563,40066582,"Effects of probiotic supplementation on blood lipids ın hypercholesterolemic obese patients: a randomized, double-blind, placebo-controlled pilot trial.",2025,Nutricion hospitalaria,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
