evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
EUROPEPMC:42039766,literature,PubMed,42039766,https://europepmc.org/article/MED/42039766,10.1002/fsn3.71801,42039766,The Role of Gut Microbiome in Obesity and Weight Management: A Review of Current Evidence and Future Directions.,2026,Food Sci Nutr,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41599863,literature,PubMed,41599863,https://europepmc.org/article/MED/41599863,10.3390/nu18020250,41599863,"Efficacy and Safety of CKDB-322, a Combination of <i>Lactiplantibacillus plantarum</i> Q180 and <i>Phaeodactylum tricornutum</i>, for Reducing Body Fat and Abdominal Adiposity in Overweight Adults.",2026,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:42197000,literature,PubMed,42197000,https://europepmc.org/article/MED/42197000,10.3390/nu18101540,42197000,Gut Microbiome Dysbiosis in Metabolic Syndrome: Current Evidence and Emerging Perspectives.,2026,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41901543,literature,PubMed,41901543,https://europepmc.org/article/MED/41901543,10.3390/medicina62030458,41901543,"Nutritional Status in Obesity: A Comprehensive Narrative Review of Dysbiosis, Micronutrient Deficiencies and the Effects of Probiotics/Synbiotics.",2026,Medicina (Kaunas),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41736436,literature,PubMed,41736436,https://europepmc.org/article/MED/41736436,10.19852/j.cnki.jtcm.2026.01.019,41736436,Combined acupuncture and herb treatment improves intestinal flora inabdominally obese subjects based on 16s rRNA sequencing: a randomized controlled trial.,2026,J Tradit Chin Med,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41133047,literature,PubMed,41133047,https://europepmc.org/article/MED/41133047,10.7759/cureus.92881,41133047,Efficacy of Gut Microbiome-Targeted Therapies in Modulating Systemic Inflammation and Low-Grade Chronic Inflammatory States in Adults With Metabolic Disorders: A Systematic Review.,2025,Cureus,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:42158917,literature,PubMed,42158917,https://europepmc.org/article/MED/42158917,10.3389/fendo.2026.1802045,42158917,Effect of probiotics derivatives (postbiotics and metabiotics) on glycemic control in individuals with type 2 diabetes: a randomized clinical trial (DELI_Diab study).,2026,Front Endocrinol (Lausanne),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41512635,literature,PubMed,41512635,https://europepmc.org/article/MED/41512635,10.1016/j.clnu.2025.106560,41512635,"Effects of a novel synbiotic intervention on abdominal visceral fat reductions and gut microbiota in overweight and obese adults: A randomized, double-blind, placebo-controlled trial.",2026,Clin Nutr,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41814326,literature,PubMed,41814326,https://europepmc.org/article/MED/41814326,10.1186/s12986-026-01101-8,41814326,Effects of synbiotic supplementation on metabolic profiles in children with obesity: a randomized double-blinded placebo-controlled trial.,2026,Nutr Metab (Lond),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41295220,literature,PubMed,41295220,https://europepmc.org/article/MED/41295220,10.3390/jpm15110518,41295220,Impact of Reducing Obesity in PCOS: Methods and Treatment Outcomes.,2025,J Pers Med,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41692128,literature,PubMed,41692128,https://europepmc.org/article/MED/41692128,10.1016/j.advnut.2026.100605,41692128,Diet and Exercise Interventions in Pediatric Cancer Survivors and Effects on Cardiometabolic Disease Risk and Inflammaging Biomarkers: A Systematic Review.,2026,Adv Nutr,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:42197020,literature,PubMed,42197020,https://europepmc.org/article/MED/42197020,10.3390/nu18101562,42197020,Leveraging Dietary Interventions to Benefit Patients with Hematologic Malignancies and Clonal Hematopoiesis.,2026,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:40400804,literature,PubMed,40400804,https://europepmc.org/article/MED/40400804,10.7759/cureus.82613,40400804,"Impact of a Probiotic-Fiber Blend on Body Weight, Metabolic Regulation, and Digestive Function in Obese Adults: A Randomized, Placebo-Controlled, Multicentric Trial.",2025,Cureus,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:42158814,literature,PubMed,42158814,https://europepmc.org/article/MED/42158814,10.7150/ijms.125881,42158814,"The Effects of a Prebiotic Formula Promoting <i>Akkermansia muciniphila</i> (AKK) on Gut Health: A Single-Centre, Randomised Controlled Trial.",2026,Int J Med Sci,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:40951500,literature,PubMed,40951500,https://europepmc.org/article/MED/40951500,10.52225/narra.v5i2.1562,40951500,Probiotic <i>Lactobacillus</i> sp. as a strategy for modulation of non-comorbid obesity: A systematic meta-analysis and GRADE assessment of randomized controlled trials.,2025,Narra J,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41783897,literature,PubMed,41783897,https://europepmc.org/article/MED/41783897,10.1515/mr-2025-0048,41783897,"Obesity: current developments in mechanisms, diagnosis, classification and the evolution of personalized management.",2026,Med Rev (2021),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41494682,literature,PubMed,41494682,https://europepmc.org/article/MED/41494682,10.7570/jomes25045,41494682,The Effects of Probiotic Yogurt and Resistance Training on Body Composition and Metabolic Parameters in Post-bariatric Surgery Patients: A Randomized Controlled Trial.,2026,J Obes Metab Syndr,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41426235,literature,PubMed,41426235,https://europepmc.org/article/MED/41426235,10.2147/tcrm.s540144,41426235,Modulating Metabolic Health and Physiological Functions: Advances in Dietary Interventions Targeting Gut Microbiota.,2025,Ther Clin Risk Manag,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41656244,literature,PubMed,41656244,https://europepmc.org/article/MED/41656244,10.1186/s12967-026-07836-5,41656244,Multiomics: the intersection of personalized nutrition in cardiometabolic diseases.,2026,J Transl Med,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:42044114,literature,PubMed,42044114,https://europepmc.org/article/MED/42044114,10.1371/journal.pone.0347754,42044114,"Dietary phytochemical index is associated with systemic inflammation, insulin resistance, and gut microbiota-derived metabolites in individuals with obesity: A cross-sectional study.",2026,PLoS One,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:42232906,literature,PubMed,42232906,https://europepmc.org/article/MED/42232906,10.3389/fmicb.2026.1817839,42232906,"From ""spleen governing muscle"" to gut microbiota: mechanisms of sarcopenic obesity in perimenopausal women.",2026,Front Microbiol,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41232606,literature,PubMed,41232606,https://europepmc.org/article/MED/41232606,10.1016/j.advnut.2025.100554,41232606,Current Research in Fermented Foods: Bridging Tradition and Science.,2025,Adv Nutr,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41126806,literature,PubMed,41126806,https://europepmc.org/article/MED/41126806,10.1016/j.crfs.2025.101215,41126806,Probiotic pasta consumption improves lipid metabolism and reduces gut permeability in overweight and obese adults: a randomized controlled trial.,2025,Curr Res Food Sci,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:42075007,literature,PubMed,42075007,https://europepmc.org/article/MED/42075007,10.3390/nu18081195,42075007,<i>Bifidobacterium animalis</i> ssp. <i>lactis</i> 420 and <i>Cordyceps militaris</i> Synergistically Modulate the Gut Microbiota by Increasing Mucin 2 Production.,2026,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41948317,literature,PubMed,41948317,https://europepmc.org/article/MED/41948317,10.3389/fimmu.2026.1773346,41948317,Associations between periodontal disease-induced immune cell activation and energy metabolism.,2026,Front Immunol,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:40218949,literature,PubMed,40218949,https://europepmc.org/article/MED/40218949,10.3390/nu17071191,40218949,"A 12-Week, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of <i>Lactobacillus plantarum</i> LMT1-48 on Body Fat Loss.",2025,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41163054,literature,PubMed,41163054,https://europepmc.org/article/MED/41163054,10.1186/s13063-025-09180-3,41163054,"The effects of a newly developed beverage powder supplement on anthropometric measures, body composition, metabolic syndrome components, and appetite in obese or overweight adults: a protocol for a randomized clinical trial study.",2025,Trials,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
EUROPEPMC:41734872,literature,PubMed,41734872,https://europepmc.org/article/MED/41734872,10.1016/j.advnut.2026.100610,41734872,"Gut Microbiome-Associated Effects of Plant-Based Diets on Glucose Homeostasis, Body Composition, and Cognitive Function: A Scoping Review.",2026,Adv Nutr,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion2,2026-06-08
