evidence_id,source_database,source_accession,doi,pmid,title,year,evidence_type,priority,relevance_score,study_tag,intervention_type_hint,taxa_hint,outcome_hint,needs_manual_review,source_url,queue_rank,queue_reason
EUROPEPMC:41599902,PubMed,41599902,10.3390/nu18020290,41599902,Personalized Nutrition Through the Gut Microbiome in Metabolic Syndrome and Related Comorbidities.,2026,literature,medium,2,needs_manual_classification,,,glucose;microbiome,true,https://europepmc.org/article/MED/41599902,1,priority=medium; relevance=2; study_tag=needs_manual_classification; outcomes=glucose;microbiome
EUROPEPMC:41822330,PubMed,41822330,10.3389/fcimb.2026.1705021,41822330,Gut microbiota in obesity management: from microbial clocks to precision microbial therapies.,2026,literature,medium,2,needs_manual_classification,,,microbiome,true,https://europepmc.org/article/MED/41822330,2,priority=medium; relevance=2; study_tag=needs_manual_classification; outcomes=microbiome
EUROPEPMC:41850442,PubMed,41850442,10.1016/j.jsbmb.2026.106998,41850442,Targeting 7-ketocholesterol-driven metabolic dysfunction in obesity: Therapeutic potential of Bifidobacterium and dietary antioxidants.,2026,literature,medium,2,needs_manual_classification,,Bifidobacterium,lipid;glucose,true,https://europepmc.org/article/MED/41850442,3,priority=medium; relevance=2; study_tag=needs_manual_classification; taxa=Bifidobacterium; outcomes=lipid;glucose
EUROPEPMC:41999447,PubMed,41999447,10.1007/s12325-026-03577-5,41999447,Reconsidering Obesity in India Through a Gut-Metabolic Lens: Mechanistic Insights and the Emerging Role of Synbiotics in Individuals with the Thin-Fat Phenotype.,2026,literature,medium,2,needs_manual_classification,synbiotic,,glucose,true,https://europepmc.org/article/MED/41999447,4,priority=medium; relevance=2; study_tag=needs_manual_classification; outcomes=glucose
EUROPEPMC:42015346,PubMed,42015346,10.1080/19490976.2026.2644677,42015346,Gut microbiome and metabolic health: mechanisms and precision interventions.,2026,literature,medium,2,needs_manual_classification,,,glucose;microbiome,true,https://europepmc.org/article/MED/42015346,5,priority=medium; relevance=2; study_tag=needs_manual_classification; outcomes=glucose;microbiome
EUROPEPMC:42051485,PubMed,42051485,10.3389/fimmu.2026.1803488,42051485,Targeted regulation of adipose tissue macrophages from an immunometabolic perspective: a novel therapeutic approach for obesity-related metabolic disorders.,2026,literature,medium,2,needs_manual_classification,,,glucose,true,https://europepmc.org/article/MED/42051485,6,priority=medium; relevance=2; study_tag=needs_manual_classification; outcomes=glucose
EUROPEPMC:42072163,PubMed,42072163,10.3390/antiox15040522,42072163,"Microbiota-Gut-Brain Axis Disruption, Neuroinflammation, and Potential Antioxidant-Based Treatments in Metabolic Diseases.",2026,literature,medium,2,needs_manual_classification,,,glucose;microbiome,true,https://europepmc.org/article/MED/42072163,7,priority=medium; relevance=2; study_tag=needs_manual_classification; outcomes=glucose;microbiome
EUROPEPMC:42131482,PubMed,42131482,10.3389/fphys.2026.1766078,42131482,Bioactive compounds as therapeutic modulators of metabolic syndrome: targeting inflammation and gut microbiota regulation.,2026,literature,medium,2,needs_manual_classification,,,glucose;microbiome,true,https://europepmc.org/article/MED/42131482,8,priority=medium; relevance=2; study_tag=needs_manual_classification; outcomes=glucose;microbiome
EUROPEPMC:42197000,PubMed,42197000,10.3390/nu18101540,42197000,Gut Microbiome Dysbiosis in Metabolic Syndrome: Current Evidence and Emerging Perspectives.,2026,literature,medium,2,needs_manual_classification,,,glucose;microbiome,true,https://europepmc.org/article/MED/42197000,9,priority=medium; relevance=2; study_tag=needs_manual_classification; outcomes=glucose;microbiome
EUROPEPMC:42212103,PubMed,42212103,10.3389/fped.2026.1773294,42212103,Gut microbiota and pediatric metabolic dysfunction-associated steatotic liver disease: clinical evidence and therapeutic implications.,2026,literature,medium,2,needs_manual_classification,,,glucose;microbiome,true,https://europepmc.org/article/MED/42212103,10,priority=medium; relevance=2; study_tag=needs_manual_classification; outcomes=glucose;microbiome
EUROPEPMC:42221502,PubMed,42221502,10.3389/fmicb.2026.1809114,42221502,Therapeutic potential of natural compounds from medicinal and food homology substances targeting gut microbiota in lipid metabolism disorders.,2026,literature,medium,2,needs_manual_classification,,,lipid;microbiome,true,https://europepmc.org/article/MED/42221502,11,priority=medium; relevance=2; study_tag=needs_manual_classification; outcomes=lipid;microbiome
PMID:41205303,PubMed,41205303,10.1016/j.micres.2025.128393,41205303,Bacteroides acidifaciens alleviates high-fat diet-induced obesity-related osteoporosis by regulating gut microbiota and bile acid metabolism via the gut-bone axis.,2026,literature,medium,2,needs_manual_classification,,,microbiome,true,https://pubmed.ncbi.nlm.nih.gov/41205303/,12,priority=medium; relevance=2; study_tag=needs_manual_classification; outcomes=microbiome
PMID:41499920,PubMed,41499920,10.1016/j.clnu.2025.106558,41499920,Gut microbiota composition and derived enterotypes are associated with ponderal status in preschool children. Childhood obesity risk assessment longitudinal study (CORALS) cohort.,2026,literature,medium,2,needs_manual_classification,,,microbiome,true,https://pubmed.ncbi.nlm.nih.gov/41499920/,13,priority=medium; relevance=2; study_tag=needs_manual_classification; outcomes=microbiome
PMID:41812148,PubMed,41812148,10.1093/nutrit/nuaf255,41812148,"Effects of Polyphenols on Gut Health and Inflammation in Overweight and Obese Populations: A Systematic Review and Meta-analysis of Dose, Duration, and Food Matrix.",2026,literature,medium,2,meta_analysis_or_systematic_review,,,weight,true,https://pubmed.ncbi.nlm.nih.gov/41812148/,14,priority=medium; relevance=2; study_tag=meta_analysis_or_systematic_review; outcomes=weight
PMID:41871887,PubMed,41871887,10.1111/jog.70244,41871887,Effects of Nutritional Supplement Intake on Pregnancy Outcomes in Overweight and Obese Women: A Systematic Review and Meta-Analysis.,2026,literature,medium,2,meta_analysis_or_systematic_review,,,weight,true,https://pubmed.ncbi.nlm.nih.gov/41871887/,15,priority=medium; relevance=2; study_tag=meta_analysis_or_systematic_review; outcomes=weight
PMID:41882376,PubMed,41882376,10.1038/s41390-026-04877-w,41882376,Genetically mediated causal relationship between gut microbiota composition and childhood obesity.,2026,literature,medium,2,needs_manual_classification,,,microbiome,true,https://pubmed.ncbi.nlm.nih.gov/41882376/,16,priority=medium; relevance=2; study_tag=needs_manual_classification; outcomes=microbiome
